id_producao,id_produto,data_producao,linha_producao,volume_entrada_litros,volume_saida,custo_total,lote,validade
71,9,2023-03-18,Linha A,3195.9,2974.33,,L00071,2025-01-03
72,27,2023-12-31,Linha C,1919.23,1589.66,38799.59,L00072,2025-03-23
73,28,2023-04-22,Linha C,8409.86,8159.56,39469.05,L00073,2024-01-17
74,18,2023-05-20,Linha B,6229.01,4590.1,26843.04,L00074,2024-06-13
75,1,2023-07-02,Linha C,5077.83,4337.43,46216.29,L00075,2025-03-02
76,2,20/12/2023,Linha B,3702.06,3217.8,11423.29,L00076,2024-01-01
77,1,2023-06-11,LINHA B,2281.55,1874.11,36250.04,L00077,2024-10-29
78,16,03/06/2023,Linha C,6610.67,5494.38,42774.75,L00078,2024-07-18
79,3,2023-12-28,Linha A,6177.39,5587.98,28617.47,L00079,2024-07-20
80,16,2023-07-18,Linha B,1025.87,884.74,2332.7,L00080,2025-06-23
81,15,2024-04-21,Linha B,3364.21,2986.17,28419.25,L00081,2025-05-07
82,25,2024-05-29,linha b,5226.56,4517.53,4996.01,L00082,2024-04-06
83,28,2023-08-20,Linha A,9432.07,8153.87,3365.98,L00083,2024-07-11
84,2,2024-02-07,linha b,8833.21,7874.88,,L00084,2025-06-18
85,16,21/03/2024,Linha A,2617.31,2510.67,24326.15,L00085,2025-06-27
86,1,2024-04-07,Linha B,7178.6,5415.4,32304.25,L00086,2024-07-09
87,17,2024-01-22,linha a,9887.68,8621.72,,L00087,2024-07-15
88,9,2023-04-17,Linha B,8993.83,6678.09,13870.98,L00088,2024-04-06
89,27,2023-01-08,Linha A,724.01,581.97,11809.88,L00089,2024-07-19
90,5,2023-03-09,LINHA A,1292.76,1169.69,46355.98,L00090,2024-05-11
91,11,2024-06-15,linha a,9790.7,9187.56,23764.07,L00091,2025-05-25
92,19,2024-10-30,Linha C,9543.71,7276.69,27104.4,L00092,2024-09-15
93,7,2024-01-25,Linha C,7585.75,7155.48,10191.88,L00093,2024-06-03
94,2,2023-05-20,Linha B,5041.76,4414.98,36650.61,L00094,2025-04-30
95,1,2024-08-08,Linha A,4075.41,3089.22,47693.61,L00095,2024-12-07
96,22,2024-12-01,Linha C,6384.6,5271.22,23675.71,L00096,2025-04-15
97,2,2023-10-06,Linha C,5173.31,4113.86,22019.88,L00097,2024-09-08
98,29,2023-04-29,Linha A,9175.34,6921.63,8754.49,L00098,2025-06-08
99,3,2024-02-21,Linha C,510.51,400.55,25558.98,L00099,2024-03-17
100,10,2023-11-05,linha b,5803.78,5477.37,34724.24,L00100,2024-02-19
101,14,28/01/2023,Linha B,4050.59,3358.78,14452.81,L00101,2025-05-21
102,12,16/06/2023,Linha C,2939.73,2234.26,38125.46,L00102,2024-01-05
103,7,2024-07-28,Linha A,2515.98,1786.46,23574.09,L00103,2025-02-23
104,25,2023-09-19,Linha A,4638.59,3509.71,38140.6,L00104,2024-02-20
105,19,2024-01-16,Linha C,8791.21,7833.44,34736.55,L00105,2024-01-12
106,20,2023-11-24,Linha B,9419.63,7235.61,,L00106,07/04/2025
107,24,2023-01-26,linha b,4716.94,3302.22,3201.48,L00107,2024-01-14
108,14,2023-05-03,Linha A,8264.93,7698.38,1868.87,L00108,2024-09-27
109,11,2024-10-23,Linha A,6248.42,6035.68,17706.35,L00109,2025-03-28
110,28,2023-02-20,Linha B,1880.24,1796.93,42455.59,L00110,2024-04-03
111,18,2024-03-04,linha c,7702.6,5477.36,20379.48,L00111,2025-01-26
112,16,2023-10-08,Linha A,2085.99,1895.31,21640.67,L00112,2024-08-23
113,2,2023-12-22,Linha C,5923.35,5133.47,35445.86,L00113,2024-05-20
114,14,27/06/2024,Linha B,3559.61,3344.78,32940.39,L00114,20/02/2025
115,17,2024-11-22,Linha B,7754.26,7548.54,4632.62,L00115,2024-01-23
116,25,2023-04-14,linha a,9684.78,8177.0,45411.06,L00116,2024-08-28
117,5,2023-10-26,Linha C,3162.57,2644.89,,L00117,2025-05-20
118,25,2024-03-25,Linha C,9864.49,7655.08,30301.24,L00118,2024-11-25
119,15,2023-04-21,Linha B,8552.91,7821.51,36075.96,L00119,2024-10-28
120,10,2024-06-30,Linha B,3219.47,2279.13,36136.99,L00120,2024-02-21
121,21,2024-05-30,Linha C,3569.53,3040.43,,L00121,2024-04-15
122,29,2024-10-26,Linha B,3933.01,3243.74,49835.67,L00122,2024-12-09
123,22,2023-05-26,Linha C,3488.82,3295.92,41231.78,L00123,2024-10-04
124,9,2023-09-05,Linha C,9146.56,6948.95,47533.92,L00124,2025-05-25
125,18,2023-09-20,Linha B,6557.52,5152.38,18130.65,L00125,2024-03-18
126,12,2024-10-19,Linha B,3587.82,2584.68,35038.82,L00126,2024-03-25
127,5,2024-06-21,Linha A,8606.79,6974.01,18136.72,L00127,2024-02-08
128,30,2023-03-11,Linha A,1614.42,1536.74,14220.02,L00128,2025-01-21
129,4,2023-07-21,Linha A,7197.05,5606.4,30414.24,L00129,2024-07-03
130,6,02/08/2024,Linha C,3212.37,2311.5,2592.68,L00130,2025-01-13
131,22,2023-07-30,Linha B,1828.37,1681.2,43269.08,L00131,2024-05-16
132,21,2023-02-20,Linha B,3867.89,2864.25,25124.29,L00132,2024-05-30
133,9,2023-06-06,Linha B,2812.04,2676.65,33019.22,L00133,2025-01-18
134,19,2024-10-28,Linha C,557.47,440.63,19864.07,L00134,2025-04-01
135,16,2023-09-21,Linha B,8592.78,6961.01,41089.52,L00135,2024-06-19
136,18,2024-08-17,Linha C,8347.58,6679.1,6621.34,L00136,2025-04-07
137,23,26/03/2023,linha a,7617.21,5569.03,9907.99,L00137,2025-06-25
138,29,2024-08-17,Linha B,1449.89,1258.45,24617.19,L00138,2025-02-15
139,25,2023-09-18,Linha A,1359.8,1169.31,1406.12,L00139,2025-01-28
140,4,2024-08-26,LINHA A,2408.75,2251.04,23976.42,L00140,2024-04-17
141,9,2023-04-29,Linha C,7906.23,6495.92,14345.01,L00141,2024-02-18
142,28,2023-08-03,Linha B,1909.41,1856.9,6984.5,L00142,2025-03-24
143,11,2023-12-13,Linha B,9352.41,6708.78,21336.3,L00143,2025-06-21
144,27,2024-07-26,LINHA C,4979.73,4400.11,,L00144,2024-08-20
145,10,2024-04-04,Linha B,9304.37,6818.72,29895.09,L00145,2025-04-18
146,13,2024-01-30,Linha A,4284.16,3844.76,19148.12,L00146,2024-11-26
147,12,2023-04-11,Linha C,963.07,829.82,8149.98,L00147,2025-01-20
148,6,2023-08-03,Linha B,539.86,451.35,21942.05,L00148,2024-12-20
149,11,2024-08-23,Linha B,7456.08,6546.69,48660.4,L00149,2024-04-09
150,1,2023-07-25,Linha C,9815.38,7278.41,9731.86,L00150,2024-07-27
151,14,2023-11-15,linha b,5035.88,4693.03,25139.12,L00151,2024-11-23
152,5,2023-06-20,Linha B,5339.14,4954.17,16207.76,L00152,2024-11-21
153,12,2024-06-17,Linha C,8580.62,7522.59,2208.38,L00153,2025-01-27
154,20,2023-02-21,Linha B,4126.66,3782.02,18949.93,L00154,2025-02-05
155,23,2024-05-19,Linha C,7125.6,5863.7,43777.95,L00155,2025-02-19
156,19,2024-08-16,Linha A,1133.75,871.4,,L00156,16/09/2024
157,27,2024-03-29,Linha C,2847.36,2330.12,,L00157,2025-05-29
158,5,2023-05-04,Linha B,6150.71,6012.69,29342.31,L00158,2025-05-03
159,29,2024-06-06,linha a,2576.05,2373.68,13139.07,L00159,2024-11-25
160,27,2024-03-23,Linha B,9012.0,6571.91,48676.97,L00160,2025-03-05
161,28,2023-04-07,Linha A,5284.3,4200.45,3167.56,L00161,2024-05-31
162,4,2023-10-26,Linha B,5607.17,4700.43,23470.3,L00162,2025-01-02
163,6,2024-09-06,Linha B,808.52,717.92,23570.29,L00163,2024-04-28
164,26,2024-09-09,Linha C,5362.28,4869.16,36319.87,L00164,2024-11-04
165,14,2024-11-05,Linha C,4299.94,3335.08,47004.97,L00165,2024-12-18
166,12,2023-01-28,LINHA A,1457.9,1294.24,37450.78,L00166,2025-02-10
167,2,2023-06-20,Linha A,6421.46,5686.28,10264.59,L00167,2025-05-14
168,12,2024-03-06,Linha C,1577.14,1303.26,29670.17,L00168,2024-07-21
169,21,2023-08-05,Linha B,4188.2,3087.39,41618.01,L00169,2025-05-13
170,11,2023-02-25,Linha B,7570.94,6741.81,15312.15,L00170,2025-03-10
171,23,2023-10-28,LINHA B,3552.47,2593.89,16550.41,L00171,2024-11-20
172,19,2024-07-22,Linha A,2741.43,2608.6,13627.02,L00172,2024-12-28
173,25,2024-07-19,Linha A,3861.41,3127.02,22982.37,L00173,2025-01-07
174,30,2023-01-07,linha c,3951.84,3154.49,11565.29,L00174,2024-01-01
175,23,2024-05-09,LINHA B,1496.48,1260.75,18782.25,L00175,2024-12-04
176,19,2024-02-21,Linha B,7346.35,6122.64,41470.82,L00176,2024-04-09
177,5,2023-10-17,Linha B,3908.02,2973.65,33323.33,L00177,2025-02-21
178,27,2023-10-08,Linha B,8876.98,6309.52,33994.53,L00178,2024-07-21
179,19,2024-04-19,Linha C,7960.95,6903.96,33952.65,L00179,16/01/2025
180,8,2023-08-05,Linha A,6142.23,5222.32,17241.11,L00180,2025-01-20
181,14,2023-10-15,Linha B,5642.51,4695.5,25038.13,L00181,2024-11-30
182,13,2024-10-13,Linha A,9136.81,6534.06,4389.43,L00182,2025-05-02
183,11,2023-04-25,Linha C,6822.27,6199.29,26268.73,L00183,2024-02-08
184,10,2023-08-29,linha a,6303.09,5403.98,1972.51,L00184,2024-10-02
185,20,2023-09-22,Linha C,9793.05,7470.87,8675.27,L00185,2024-10-21
186,7,2023-05-16,Linha A,7563.08,5443.64,46785.76,L00186,2025-05-18
187,13,2023-11-13,Linha A,9571.54,8537.54,1427.63,L00187,2024-07-07
188,7,2024-05-26,Linha C,5631.73,4963.91,18735.72,L00188,2024-05-06
189,8,2024-11-21,Linha B,5326.67,4416.69,,L00189,2024-11-18
190,30,2023-02-15,linha c,8365.15,7681.76,23697.15,L00190,2024-06-06
191,5,2023-08-21,Linha A,5207.44,3871.34,22618.96,L00191,2024-10-25
192,24,2024-09-28,Linha C,3820.99,2983.37,43505.75,L00192,2024-12-18
193,20,2023-11-15,Linha B,6559.33,5499.87,10549.17,L00193,2024-07-16
194,18,2024-01-11,Linha B,4782.44,3454.31,11369.5,L00194,2024-09-26
195,19,2024-07-27,Linha A,5726.46,4239.24,48888.04,L00195,2024-09-05
196,25,2024-11-22,LINHA C,9705.66,7473.12,46494.72,L00196,2024-11-29
197,21,2023-02-07,LINHA A,9315.69,8069.18,39930.35,L00197,2024-06-16
198,28,2023-04-07,Linha B,2604.64,1993.01,15195.88,L00198,2024-04-12
199,29,2024-10-27,Linha B,7105.38,6009.49,7425.35,L00199,2024-03-27
200,24,2024-12-14,Linha C,7968.28,7168.01,22702.68,L00200,2024-09-20
201,4,2024-02-17,Linha B,9525.1,6721.99,10315.83,L00201,2024-11-25
202,5,2023-09-13,Linha A,785.49,728.82,14593.85,L00202,2025-01-24
203,19,2024-03-26,Linha A,3410.52,3248.15,47957.3,L00203,2025-03-19
204,12,2024-07-07,LINHA C,3705.08,2982.1,3915.33,L00204,2024-07-22
205,16,2023-12-12,linha a,4045.71,3138.99,15369.13,L00205,2024-07-31
206,9,2024-09-24,LINHA A,9459.28,7121.81,31852.73,L00206,2024-11-28
207,4,2024-04-19,Linha B,2968.22,2773.14,42271.64,L00207,2024-10-03
208,21,2023-04-18,Linha A,730.62,698.44,6688.35,L00208,2024-07-10
209,26,2023-10-16,linha b,3162.95,2748.51,8222.29,L00209,2025-06-06
210,12,2024-07-25,Linha A,1889.9,1753.09,1469.82,L00210,2025-04-26
211,22,2024-11-30,Linha C,2257.74,2205.77,27989.89,L00211,2025-05-31
212,20,2024-10-02,Linha B,2695.08,2587.59,9583.62,L00212,2024-10-31
213,2,2023-09-20,LINHA B,642.43,500.01,,L00213,2024-05-13
214,18,2023-04-04,Linha B,3821.56,3464.56,,L00214,2024-11-12
215,16,2024-02-16,Linha C,9316.19,6628.38,18364.36,L00215,2025-02-25
216,28,2024-09-04,Linha A,4227.12,3507.54,41142.08,L00216,2024-10-05
217,14,2023-07-04,Linha A,850.29,710.92,1995.71,L00217,2024-04-05
218,14,2023-09-16,linha a,7081.33,6708.23,28322.12,L00218,2024-04-23
219,4,2023-03-28,Linha B,6098.87,5777.61,44793.89,L00219,2025-05-09
220,11,2023-05-05,Linha C,3797.15,2902.23,26395.81,L00220,2024-12-13
221,17,2024-03-09,Linha B,6248.19,4913.29,20245.93,L00221,2025-01-30
222,30,2024-02-05,Linha B,6201.8,5239.33,4756.36,L00222,2024-05-07
223,5,2024-06-30,Linha C,5554.78,5277.15,34033.9,L00223,2024-05-06
224,8,2023-08-06,Linha B,5634.76,4633.57,34013.2,L00224,2024-10-10
225,23,2023-11-07,Linha B,3146.7,2541.97,19175.01,L00225,2025-03-13
226,25,2023-06-22,linha c,2242.84,2135.08,8190.37,L00226,2025-03-19
227,19,2023-04-02,Linha C,1967.06,1570.84,20719.73,L00227,2024-01-31
228,12,2024-05-09,Linha C,8261.53,7087.67,36186.3,L00228,2024-02-10
229,27,2023-09-28,Linha B,1152.05,848.9,4872.84,L00229,2025-05-06
230,1,2024-09-06,linha b,7567.78,5456.08,20610.44,L00230,2024-02-23
231,5,2024-08-04,Linha B,8246.01,6108.9,28071.87,L00231,2024-04-24
232,4,2023-03-21,Linha B,2590.5,2130.52,34853.74,L00232,2024-09-09
233,17,2024-08-02,Linha C,9939.42,8280.48,25286.52,L00233,2025-04-21
234,3,2024-06-13,Linha C,7520.08,5406.47,45258.15,L00234,2024-02-24
235,3,2023-07-15,Linha C,2645.48,2184.09,20899.15,L00235,2024-02-08
236,29,2024-10-21,Linha A,2699.54,2581.9,7082.88,L00236,2024-02-17
237,2,2023-02-10,Linha A,7895.65,7156.05,27467.55,L00237,2025-01-15
238,19,03/06/2024,Linha C,6937.54,5463.98,20187.17,L00238,2024-03-05
239,10,2023-08-22,LINHA C,8456.74,6698.34,6000.42,L00239,2024-04-04
240,30,2023-09-17,Linha C,9441.06,9131.03,15043.54,L00240,2025-04-16
241,2,2024-12-30,Linha B,4879.77,4071.04,35964.45,L00241,2024-08-27
242,13,2024-06-20,Linha A,9587.34,6933.88,49032.86,L00242,2024-12-28
243,14,2024-04-07,Linha B,9272.5,7319.8,24599.83,L00243,2024-07-07
244,25,2024-08-29,Linha C,6879.13,5154.34,26289.17,L00244,2024-05-10
245,13,2023-05-26,Linha A,3058.89,2213.8,47253.05,L00245,2025-06-09
246,4,2023-06-29,Linha A,5280.39,4310.01,44497.82,L00246,2025-02-13
247,18,2023-05-21,linha c,7500.91,6906.07,9552.42,L00247,2024-09-18
248,6,2024-04-15,Linha A,8244.17,7958.24,1376.54,L00248,2024-07-04
249,22,2024-06-17,Linha B,4664.83,3770.86,19991.83,L00249,2024-12-08
250,30,2023-10-11,Linha A,6761.06,6150.74,6453.21,L00250,2025-01-11
251,9,2023-04-16,Linha B,8445.92,6637.66,49774.83,L00251,2024-07-25
252,25,2023-07-13,Linha B,7545.51,5627.33,47513.33,L00252,2025-04-26
253,2,2023-01-25,Linha B,3679.4,2649.92,48658.92,L00253,2024-03-04
254,12,2023-02-07,LINHA B,6901.93,5738.8,40181.3,L00254,2025-06-21
255,26,2023-09-18,Linha A,5628.16,4577.17,13184.32,L00255,2025-03-25
256,12,2023-12-09,Linha B,990.3,919.93,17629.16,L00256,2025-05-01
257,10,2023-10-11,LINHA B,4245.29,4110.77,41328.16,L00257,2024-07-10
258,8,2023-05-22,Linha A,4095.55,3709.12,26397.05,L00258,2024-08-14
259,28,2024-03-15,linha b,6040.18,5285.21,13735.48,L00259,2024-06-12
260,22,2023-11-24,Linha B,1924.04,1468.84,1860.41,L00260,2024-03-18
261,8,2024-10-27,Linha A,4998.03,3835.6,46973.24,L00261,2024-11-24
262,14,08/07/2023,Linha A,3684.62,2904.17,44136.61,L00262,2025-04-07
263,7,2023-05-04,Linha A,9158.39,6865.22,6810.22,L00263,2024-06-26
264,30,2023-11-05,LINHA C,8189.33,7212.2,38994.5,L00264,2025-02-25
265,8,2024-12-11,Linha C,705.92,616.12,15035.49,L00265,2024-09-17
266,18,2024-03-21,Linha B,2462.2,2202.35,10347.69,L00266,2025-03-28
267,15,2024-04-19,Linha B,9324.71,7023.87,2692.39,L00267,2024-06-19
268,9,2023-03-13,linha b,5520.11,4368.33,17183.12,L00268,2025-06-22
269,26,2024-05-30,linha a,7123.28,5642.03,49733.63,L00269,2025-02-20
270,17,2023-05-21,Linha C,3655.26,3173.75,21288.01,L00270,2024-01-19
271,13,2023-01-18,Linha B,5772.8,5285.09,27724.22,L00271,2024-01-18
272,28,2024-10-12,Linha B,2322.02,2153.71,49628.3,L00272,2024-01-13
273,22,2024-05-27,linha a,9045.7,8491.98,16140.49,L00273,2025-02-18
274,5,2024-01-02,Linha C,8107.94,6912.62,32986.89,L00274,2024-12-18
275,8,2023-06-22,Linha C,1773.07,1572.76,,L00275,2024-05-21
276,23,2023-06-09,Linha C,2913.19,2162.63,3775.89,L00276,10/04/2025
277,29,2023-11-22,Linha A,7817.53,6712.79,48038.67,L00277,2024-10-11
278,27,2023-01-26,Linha B,9102.09,8736.34,40426.13,L00278,15/11/2024
279,19,2024-09-28,Linha A,2483.28,1761.17,7969.85,L00279,2024-04-10
280,21,2024-01-27,Linha C,3844.4,3235.38,13946.55,L00280,2024-02-11
281,25,2023-12-23,Linha B,2152.69,1859.8,19550.07,L00281,2025-04-12
282,3,2024-05-02,Linha B,3275.6,2305.26,7449.61,L00282,2024-01-05
283,28,2024-06-24,Linha A,2594.4,2105.14,2536.97,L00283,07/02/2024
284,15,2024-09-16,Linha B,1775.16,1479.12,24682.36,L00284,2024-05-17
285,24,2024-11-19,Linha C,4264.53,3181.67,43783.53,L00285,2024-04-15
286,19,2024-03-04,Linha A,7733.18,7133.18,35557.87,L00286,2024-09-02
287,24,2024-10-09,Linha C,8503.9,7258.12,40910.05,L00287,2025-04-21
288,1,2023-04-01,Linha A,9931.01,9518.0,15351.39,L00288,2024-10-11
289,20,2023-01-09,Linha C,7464.47,5628.79,44040.39,L00289,2025-04-21
290,26,2023-06-25,LINHA B,1454.7,1263.61,39679.94,L00290,2024-06-22
291,13,2023-04-27,Linha B,3677.36,3251.26,25589.27,L00291,2024-08-08
292,3,2024-05-15,linha b,4851.62,4152.99,15177.23,L00292,2024-11-24
293,7,2024-04-21,Linha B,7224.83,7018.29,7871.25,L00293,2025-03-23
294,12,2023-03-27,Linha C,9889.02,8424.81,4293.87,L00294,2024-11-10
295,30,2023-09-26,Linha C,3401.53,3277.92,7973.38,L00295,2025-02-01
296,21,20/12/2024,Linha B,6844.81,5022.22,18575.13,L00296,2024-03-02
297,19,2023-10-23,linha c,9783.49,9128.83,44382.24,L00297,2024-08-23
298,3,2023-01-02,linha a,1362.79,1164.25,48727.08,L00298,2024-07-31
299,12,2023-02-24,Linha B,4086.14,3527.52,2948.94,L00299,2024-09-13
300,10,2023-01-20,Linha A,7807.69,6032.16,48403.48,L00300,2025-03-17
301,16,2024-03-06,LINHA C,3127.59,3023.03,39801.29,L00301,2024-05-03
302,17,2024-03-25,Linha A,8046.91,7713.63,2667.33,L00302,2024-08-12
303,26,2024-11-10,Linha B,2345.55,2024.47,1764.63,L00303,11/04/2025
304,21,2023-11-22,Linha C,3792.59,3107.25,6225.9,L00304,2024-09-07
305,30,2023-11-27,linha c,5533.34,5068.53,20361.49,L00305,2025-06-23
306,3,31/10/2023,Linha C,6011.33,4879.41,4472.55,L00306,2025-01-17
307,12,2024-12-13,linha a,8736.83,7734.26,15261.52,L00307,2024-11-29
308,18,2023-07-31,Linha A,7527.09,5722.98,14122.17,L00308,2025-06-29
309,5,2023-01-20,linha b,5506.28,4603.99,43022.99,L00309,2024-12-24
310,15,2023-09-23,linha b,5389.57,5155.63,27415.21,L00310,2024-04-11
311,29,2023-02-05,Linha B,4187.83,3269.56,8361.53,L00311,2024-04-18
312,5,2023-01-13,linha c,3705.92,3500.06,33172.43,L00312,2024-04-23
313,9,2023-08-24,Linha B,1025.95,979.55,38111.34,L00313,2024-10-05
314,30,2024-02-11,Linha A,7733.99,6913.29,26126.27,L00314,2024-05-21
315,18,2023-12-06,LINHA B,1912.1,1732.84,16848.92,L00315,2024-02-01
316,10,2024-12-17,linha a,1329.36,1051.57,21109.07,L00316,2025-01-28
317,19,2024-07-02,Linha B,3919.63,3664.74,9524.47,L00317,2024-04-16
318,3,2023-05-05,Linha C,8840.08,7145.64,30926.45,L00318,2024-02-25
319,29,2024-03-14,Linha C,1453.03,1357.36,37082.72,L00319,2025-04-30
320,28,2023-04-08,linha b,9775.55,9049.25,29687.33,L00320,2024-04-11
321,18,2023-04-20,Linha A,9404.96,6811.94,41539.11,L00321,2024-04-16
322,30,2023-08-02,Linha B,636.59,556.14,40563.14,L00322,2024-11-17
323,20,2023-09-05,linha c,9590.72,7614.44,49548.23,L00323,2025-02-08
324,22,2024-06-09,Linha B,552.59,418.36,7654.78,L00324,2024-11-28
325,18,2024-12-11,Linha C,2416.1,2305.16,16729.2,L00325,2024-06-20
326,21,2023-02-10,LINHA A,2569.31,2397.83,46166.14,L00326,2024-10-25
327,19,2023-03-26,linha c,2261.83,1948.46,15076.8,L00327,2025-04-21
328,25,2024-05-01,Linha A,941.73,774.32,48248.1,L00328,2025-03-07
329,29,2023-02-20,Linha C,9981.38,8531.7,37586.25,L00329,2024-09-03
330,11,2024-06-14,Linha A,1788.75,1474.02,37571.0,L00330,2024-11-11
331,17,2023-06-24,Linha A,3678.53,2933.54,16421.8,L00331,2024-11-04
332,6,2023-10-30,Linha C,3338.31,2518.53,46849.32,L00332,2025-02-12
333,18,2023-05-02,linha b,1610.08,1244.89,11983.11,L00333,2024-03-13
334,4,2023-01-06,Linha A,4843.97,4012.26,49017.21,L00334,2024-09-04
