id_pedido,id_cliente,data_pedido,status,canal,desconto_pct
93,46,2024-02-08,entregue,e-commerce,
94,11,2023-04-21,Cancelado,DIRETO,0.9
95,133,2023-10-13,Em separação,Direto,10.92
96,13,2024-11-04,ENTREGUE,Representante,
97,117,2024-11-03,Em separação,Representante,10.46
98,97,2023-04-12,Cancelado,E-Commerce,0.7
99,77,2024-10-19,entregue,Direto,4.24
100,116,2024-02-20,Cancelado,e-commerce,
101,126,2023-07-22,em separação,Representante,5.56
102,178,2023-05-28,faturado,E-commerce,
103,135,2023-11-22,Entregue,Representante,4.11
104,116,2023-11-22,ENTREGUE,E-commerce,14.85
105,45,2024-08-14,Entregue,E-commerce,3.05
106,108,2023-04-30,Cancelado,representante,9.99
107,160,17/03/2024,Faturado,E-COMMERCE,9.21
108,166,2023-05-02,entregue,Direto,
109,99,2024-09-26,Entregue,Representante,6.38
110,113,2023-11-02,em separação,Representante,
111,70,2023-05-21,entregue,E-commerce,7.85
112,156,2023-03-28,Cancelado,E-commerce,
113,175,2023-12-09,Faturado,Representante,1.49
114,108,2024-02-06,faturado,E-commerce,13.33
115,154,2023-06-29,Em separação,Representante,4.68
116,48,2023-01-07,em separação,E-commerce,0.29
117,81,2024-11-14,Faturado,E-commerce,8.8
118,161,2024-06-28,Em Separação,E-commerce,
119,49,2023-09-23,Entregue,E-COMMERCE,12.89
120,99,2024-08-03,Entregue,E-COMMERCE,
121,138,2023-02-19,Em separação,Representante,4.64
122,163,2023-12-03,Entregue,E-COMMERCE,
123,122,2024-11-07,Cancelado,E-commerce,1.68
124,148,2023-07-26,Cancelado,E-commerce,5.5
125,110,2024-11-28,faturado,E-commerce,3.09
126,158,2023-09-15,Faturado,Direto,11.72
127,185,2023-05-08,Em separação,direto,14.32
128,26,2023-09-08,Faturado,Representante,0.58
129,78,2023-11-14,Cancelado,Direto,1.11
130,48,2024-12-21,Entregue,REPRESENTANTE,9.52
131,158,2023-04-06,Em separação,Representante,0.54
132,88,2024-04-11,ENTREGUE,Direto,
133,16,2023-12-11,entregue,Direto,4.69
134,72,2024-09-14,Faturado,REPRESENTANTE,7.56
135,80,2024-10-21,Em separação,Representante,14.67
136,163,2024-03-03,CANCELADO,Direto,
137,10,2023-11-25,Entregue,Representante,4.76
138,103,2024-08-26,Em separação,E-COMMERCE,2.03
139,101,2023-11-07,Em Separação,E-commerce,14.37
140,42,2023-06-06,Faturado,E-Commerce,3.39
141,171,2023-08-13,Em separação,Direto,10.06
142,46,23/01/2024,Entregue,Representante,6.56
143,104,2023-05-27,Em separação,Direto,7.39
144,164,2024-11-16,Faturado,Representante,5.92
145,3,16/03/2023,entregue,DIRETO,12.62
146,23,2023-11-22,Faturado,Direto,9.31
147,143,26/12/2024,Em separação,Representante,2.4
148,185,2024-09-01,Faturado,E-commerce,10.63
149,21,2023-12-11,Faturado,Representante,10.81
150,87,2024-10-09,Faturado,Direto,5.12
151,114,2024-08-03,Faturado,E-commerce,13.46
152,63,2023-07-05,entregue,Representante,
153,33,2023-11-18,FATURADO,E-commerce,8.53
154,148,2023-05-30,Em separação,E-commerce,
155,13,2024-07-19,cancelado,Representante,
156,61,2024-08-26,Faturado,E-COMMERCE,
157,168,2023-03-10,cancelado,E-commerce,4.11
158,36,2023-01-14,FATURADO,representante,12.16
159,200,2024-08-13,ENTREGUE,Representante,12.43
160,107,2024-05-18,Entregue,Representante,
161,37,2024-01-09,em separação,E-Commerce,3.61
162,105,2023-07-04,Faturado,Representante,6.91
163,4,2024-11-07,Faturado,Representante,13.47
164,127,2023-03-21,CANCELADO,E-commerce,2.09
165,48,2024-03-29,Faturado,representante,12.29
166,90,2023-04-10,Em separação,e-commerce,
167,45,2024-03-09,Faturado,Representante,13.1
168,153,2024-06-18,Entregue,E-commerce,
169,200,2024-11-06,Faturado,REPRESENTANTE,10.35
170,200,2024-05-23,cancelado,Direto,2.64
171,137,2024-06-12,Entregue,Representante,10.1
172,173,2023-04-23,Cancelado,Direto,
173,133,2023-01-09,faturado,Representante,
174,73,2023-03-14,Cancelado,Direto,6.96
175,80,2024-03-26,Cancelado,Direto,
176,199,2024-03-14,Cancelado,REPRESENTANTE,0.81
177,169,2024-01-13,Faturado,e-commerce,9.94
178,183,2024-01-30,Faturado,E-commerce,1.97
179,65,2023-05-02,Faturado,E-commerce,13.8
180,89,2023-03-17,entregue,Direto,
181,43,19/05/2023,Faturado,Direto,11.5
182,110,2023-09-03,Cancelado,E-COMMERCE,12.53
183,40,2023-10-30,Entregue,Direto,1.2
184,23,2023-02-18,Entregue,E-COMMERCE,0.42
185,123,2023-03-14,entregue,Representante,7.14
186,57,2023-08-22,Faturado,Direto,2.39
187,42,2024-01-08,Faturado,direto,5.66
188,9,2024-02-16,Cancelado,E-commerce,2.16
189,86,2024-08-13,entregue,Representante,12.06
190,121,2024-12-31,Em separação,Direto,8.75
191,11,2024-01-28,Cancelado,Representante,
192,35,2024-03-03,Em separação,Representante,8.62
193,145,2023-07-21,Entregue,Representante,4.65
194,18,2024-10-11,entregue,E-commerce,2.41
195,94,2023-04-13,Entregue,Direto,8.81
196,11,2024-09-14,Cancelado,E-commerce,11.0
197,115,2023-01-11,Em separação,E-commerce,8.47
198,8,2024-03-19,Entregue,Direto,
199,54,2023-11-07,Faturado,representante,5.11
200,38,2023-09-26,Entregue,E-commerce,10.32
201,160,2023-02-07,Cancelado,direto,4.27
202,60,2023-11-04,Em separação,E-commerce,8.64
203,92,2023-09-14,Entregue,E-Commerce,14.84
204,43,2023-01-25,EM SEPARAÇÃO,Representante,6.71
205,106,2023-03-21,cancelado,Representante,4.39
206,60,2023-01-23,Faturado,Representante,11.88
207,152,2024-06-05,Em separação,Representante,0.25
208,160,2023-10-20,EM SEPARAÇÃO,Direto,4.2
209,26,2024-05-23,Em Separação,Direto,2.4
210,87,2023-04-16,Faturado,Direto,
211,177,2023-11-06,Entregue,Direto,8.98
212,85,2024-10-30,Em Separação,E-commerce,2.84
213,148,2023-01-11,Faturado,REPRESENTANTE,9.67
214,16,2024-09-21,Faturado,e-commerce,10.17
215,120,2023-09-11,Faturado,Representante,0.07
216,43,2023-12-18,Faturado,E-commerce,6.92
217,107,2023-06-04,EM SEPARAÇÃO,E-commerce,11.86
218,51,2024-07-29,Cancelado,Representante,
219,5,2023-12-03,Cancelado,Direto,
220,87,2023-07-12,Faturado,E-COMMERCE,6.78
221,164,2024-03-22,Faturado,E-Commerce,
222,84,2023-02-02,Em separação,REPRESENTANTE,2.81
223,134,2024-04-12,Entregue,Representante,2.0
224,160,2023-07-29,Em separação,e-commerce,13.91
225,179,2023-08-24,Cancelado,E-Commerce,8.58
226,195,2024-10-21,Entregue,Representante,
227,128,2023-05-17,cancelado,Direto,2.23
228,48,2024-05-19,Em separação,E-commerce,
229,132,2024-02-21,Em separação,Direto,
230,95,2023-12-23,Cancelado,Representante,2.37
231,63,2023-05-12,Cancelado,Representante,3.65
232,80,2023-06-16,faturado,E-commerce,4.91
233,61,2023-12-29,Entregue,Representante,5.3
234,38,2024-09-13,EM SEPARAÇÃO,Representante,12.22
235,125,2024-09-17,Em separação,Representante,
236,37,2024-11-22,Faturado,Direto,12.79
237,46,2023-05-13,Faturado,Direto,7.86
238,144,2024-02-08,em separação,Direto,8.73
239,47,2023-08-28,Entregue,direto,13.86
240,127,2024-06-05,faturado,DIRETO,4.52
241,119,2024-04-11,FATURADO,E-commerce,10.63
242,80,2023-03-15,Cancelado,REPRESENTANTE,14.64
243,6,2024-11-21,Entregue,Direto,0.22
244,19,2024-08-04,Em separação,E-COMMERCE,
245,171,2024-07-14,CANCELADO,REPRESENTANTE,
246,79,2023-10-23,EM SEPARAÇÃO,E-commerce,10.13
247,122,2024-07-16,Entregue,Representante,7.14
248,130,2024-01-11,Faturado,Direto,
249,127,2024-01-09,Faturado,E-commerce,13.14
250,176,2024-06-27,Em separação,E-COMMERCE,11.96
251,60,2024-01-15,Entregue,REPRESENTANTE,11.61
252,53,2024-04-27,Entregue,Direto,13.48
253,197,2024-10-11,Entregue,Representante,12.88
254,183,2024-07-15,Faturado,Representante,2.36
255,33,2023-05-06,Em separação,E-commerce,9.75
256,86,2024-05-06,Faturado,Representante,7.8
257,144,2023-09-26,Em separação,E-commerce,13.27
258,198,2024-09-04,Entregue,E-commerce,
259,147,2023-08-28,Entregue,Representante,12.57
260,42,2023-11-12,Entregue,E-commerce,12.05
261,8,2024-07-14,Faturado,E-commerce,3.06
262,72,2024-02-21,Em Separação,E-COMMERCE,4.7
263,19,2023-04-10,ENTREGUE,E-commerce,7.81
264,130,2023-08-05,Entregue,e-commerce,1.01
265,189,2024-12-31,Em separação,E-commerce,
266,183,2024-11-21,Entregue,Direto,10.41
267,13,2023-10-15,Em separação,E-Commerce,13.82
268,47,2024-05-04,Entregue,Representante,
269,134,2023-10-09,Faturado,E-COMMERCE,11.32
270,105,2024-10-13,Cancelado,E-commerce,9.12
271,35,2024-06-26,Faturado,E-commerce,7.19
272,147,2023-03-23,Entregue,Representante,1.27
273,135,2023-10-28,Em separação,E-commerce,11.73
274,68,2023-10-23,Faturado,e-commerce,
275,156,2023-12-13,Cancelado,Representante,1.14
276,49,2024-12-07,faturado,Representante,10.61
277,9,2023-09-22,em separação,E-commerce,7.0
278,181,2024-11-10,em separação,E-commerce,5.49
279,184,2024-09-13,ENTREGUE,e-commerce,1.91
280,180,2024-10-18,Entregue,e-commerce,8.2
281,149,2023-03-21,EM SEPARAÇÃO,Direto,10.87
282,184,2023-05-13,Faturado,direto,4.45
283,68,2023-09-30,Em separação,E-commerce,4.0
284,15,2024-12-15,Cancelado,Representante,12.5
285,37,2023-10-16,Entregue,Direto,14.58
286,138,2024-01-08,Cancelado,E-commerce,11.47
287,43,2024-10-19,Em Separação,E-COMMERCE,10.13
288,124,2023-11-11,Em separação,Representante,
289,99,2024-10-13,Entregue,representante,5.78
290,149,2024-07-25,Em separação,E-Commerce,12.34
291,12,2023-06-27,Cancelado,Direto,
292,24,2024-11-28,CANCELADO,Direto,13.42
293,124,2024-08-16,Entregue,Direto,11.56
294,76,2024-10-21,Entregue,Direto,
295,27,2024-07-30,Faturado,Representante,9.48
296,158,2024-01-03,Em separação,Representante,14.6
297,183,2024-02-01,Entregue,Direto,13.65
298,100,09/07/2023,EM SEPARAÇÃO,Representante,10.14
299,155,2023-03-25,Em separação,E-commerce,14.05
300,167,2024-06-13,Cancelado,E-COMMERCE,
301,9,2023-06-12,cancelado,E-Commerce,14.73
302,191,2023-06-13,Cancelado,E-COMMERCE,12.88
303,130,2024-05-13,Faturado,Representante,6.93
304,133,2023-03-20,Entregue,REPRESENTANTE,1.62
305,175,2023-05-05,Cancelado,Direto,5.27
306,118,2024-12-18,Em separação,E-commerce,14.42
307,45,2024-10-25,Cancelado,Representante,1.34
308,77,2023-09-12,Em Separação,E-commerce,11.31
309,63,2023-02-15,Faturado,direto,7.88
310,93,2023-09-27,Em separação,DIRETO,4.23
311,74,2023-11-04,CANCELADO,E-commerce,5.79
312,63,23/07/2023,Cancelado,Representante,8.16
313,174,2023-03-09,Cancelado,Representante,6.44
314,146,2024-01-05,CANCELADO,representante,
315,7,2024-08-27,Faturado,Direto,7.46
316,137,2023-12-21,Em separação,E-commerce,12.12
317,88,2023-09-08,Cancelado,Direto,0.81
318,156,2023-12-12,Cancelado,Direto,0.18
319,30,2024-03-27,Entregue,Direto,5.4
320,77,2023-06-07,Cancelado,Representante,1.54
321,109,2024-01-23,Faturado,E-commerce,12.89
322,27,2024-09-22,Cancelado,E-Commerce,5.27
323,39,2024-09-15,Entregue,DIRETO,
324,2,16/02/2023,Cancelado,E-commerce,
325,163,2024-12-07,Em separação,REPRESENTANTE,13.17
326,30,2024-02-18,Em separação,Direto,5.47
327,194,12/11/2024,cancelado,Direto,
328,28,2023-12-30,Cancelado,E-commerce,12.96
329,73,2023-08-11,Entregue,Direto,3.5
330,31,2023-09-21,Entregue,Direto,
331,125,2024-04-27,Cancelado,E-commerce,
332,61,2023-01-10,Faturado,Direto,1.98
333,22,2023-11-24,Faturado,Representante,8.9
334,132,2023-09-06,faturado,representante,10.85
335,7,27/06/2024,Em separação,Representante,8.89
336,177,2024-06-19,Entregue,Direto,
337,34,2023-09-02,Faturado,Representante,12.76
338,31,2024-06-05,FATURADO,Representante,
339,102,2023-05-29,entregue,Representante,3.88
340,106,2024-04-11,Cancelado,Direto,8.66
341,71,2023-01-07,Faturado,direto,5.36
342,120,2023-09-11,FATURADO,e-commerce,13.75
343,173,2024-04-28,Cancelado,Direto,
344,102,2023-04-23,Em separação,E-commerce,0.83
345,143,2024-10-18,Em separação,Representante,7.9
346,10,2024-08-27,cancelado,Representante,7.16
347,186,2023-06-27,Faturado,Representante,
348,69,2024-05-25,Cancelado,E-COMMERCE,10.18
349,79,2024-03-22,Faturado,Direto,7.79
350,58,2023-05-03,Em separação,Direto,2.52
351,42,2023-05-08,Em separação,Direto,12.21
352,167,2023-10-19,entregue,E-Commerce,8.32
353,14,2024-04-16,Cancelado,Representante,11.25
354,56,2023-06-18,Em Separação,Direto,8.5
355,163,2023-05-25,Cancelado,E-commerce,11.7
356,42,2023-12-26,Entregue,Direto,
357,92,2024-06-08,Entregue,REPRESENTANTE,
358,15,2024-07-20,Entregue,representante,
359,19,2023-10-03,Faturado,E-commerce,8.35
360,73,2024-08-24,Em separação,E-commerce,7.9
361,163,2024-10-07,ENTREGUE,E-commerce,6.67
362,44,2024-03-29,Cancelado,Representante,6.36
363,128,2024-05-12,Entregue,Direto,
364,124,2023-05-11,Cancelado,E-commerce,4.36
365,192,2023-08-25,Em separação,E-commerce,11.2
366,94,2023-09-21,Cancelado,Representante,13.48
367,167,2023-07-10,Entregue,Representante,8.19
368,116,2023-12-31,Entregue,E-commerce,
369,95,2024-07-25,Em separação,Representante,8.38
370,74,2023-07-09,em separação,Direto,6.87
371,156,2024-06-11,Entregue,Direto,10.93
372,105,2024-01-19,Entregue,REPRESENTANTE,13.72
373,66,2023-09-01,Cancelado,Representante,
374,57,2024-10-20,Faturado,Direto,2.45
375,189,2023-09-05,EM SEPARAÇÃO,E-Commerce,
376,135,2024-05-09,Faturado,representante,
377,21,2023-06-20,Entregue,representante,14.06
378,139,2024-01-08,EM SEPARAÇÃO,Direto,12.33
379,52,2023-04-02,Faturado,E-commerce,3.47
380,74,2023-11-24,Cancelado,Direto,11.44
381,134,2024-01-05,EM SEPARAÇÃO,Direto,13.01
382,17,2024-05-23,Em separação,representante,2.87
383,187,2023-04-19,Cancelado,E-commerce,11.77
384,6,2024-08-06,Entregue,E-commerce,9.96
385,146,2023-02-21,Entregue,Direto,5.41
386,71,2023-02-23,Entregue,representante,3.43
387,50,16/12/2024,EM SEPARAÇÃO,direto,
388,108,2024-08-09,ENTREGUE,Representante,
389,116,2023-08-29,Entregue,Representante,14.22
390,155,2024-04-08,Em Separação,Direto,10.42
391,132,2023-07-07,Cancelado,E-Commerce,
392,16,2023-06-26,FATURADO,Representante,
393,91,2023-07-19,Cancelado,Representante,
394,92,2024-09-10,Entregue,Representante,3.27
395,58,2023-07-15,Entregue,representante,4.75
396,51,2023-09-07,Em separação,Direto,2.54
397,91,2024-12-17,Cancelado,Direto,7.74
398,166,2023-02-15,FATURADO,Representante,7.37
399,137,24/03/2024,Entregue,representante,12.78
400,107,2024-05-02,Em separação,Representante,9.48
401,158,2023-10-01,Entregue,Representante,10.02
402,196,2023-06-12,Em Separação,Representante,4.95
403,43,2023-04-02,Entregue,Direto,7.33
404,182,2024-03-28,Em separação,direto,10.62
405,166,2024-05-03,Cancelado,direto,2.14
406,53,2023-08-04,Cancelado,Representante,
407,102,2024-08-27,Entregue,Direto,2.34
408,171,2024-06-26,Cancelado,e-commerce,5.73
409,6,2024-02-14,Faturado,E-commerce,2.36
410,71,2024-08-09,Cancelado,E-COMMERCE,14.81
411,72,2024-12-19,Entregue,Representante,0.65
412,187,2024-10-19,Em separação,Direto,1.13
413,94,2023-10-26,Faturado,Representante,5.3
414,168,2023-07-06,Em Separação,representante,
415,191,2023-07-24,Entregue,Representante,
416,51,2024-10-07,Faturado,e-commerce,
417,76,2023-07-18,Entregue,E-commerce,
418,2,2023-08-17,CANCELADO,Representante,
419,174,2023-12-29,Cancelado,E-commerce,3.57
420,34,2023-09-07,ENTREGUE,E-commerce,11.69
421,160,2024-11-26,Cancelado,REPRESENTANTE,
422,109,2024-04-12,Em Separação,Representante,11.92
423,184,2024-10-12,Cancelado,E-commerce,9.1
424,153,2023-01-17,Cancelado,e-commerce,9.67
425,97,2024-05-05,Em separação,Representante,2.97
426,31,2024-03-08,Entregue,Direto,12.52
427,177,2023-01-08,CANCELADO,Representante,13.59
428,19,2024-07-14,Faturado,e-commerce,
429,101,2023-10-13,Cancelado,Direto,
430,132,2024-04-12,Cancelado,Representante,
431,111,2023-07-31,cancelado,Representante,0.85
432,78,2023-09-02,Faturado,representante,9.32
433,177,2024-04-04,ENTREGUE,Direto,
434,43,2023-07-29,Entregue,E-commerce,1.94
435,1,2023-04-11,cancelado,Direto,6.91
436,104,2023-04-02,Em separação,Representante,
437,124,2023-04-09,Em separação,E-commerce,1.04
438,157,2024-11-06,Cancelado,e-commerce,13.97
439,192,2023-09-06,Em separação,REPRESENTANTE,
440,21,2024-09-12,Entregue,Representante,
441,198,2023-10-08,FATURADO,Direto,11.73
442,118,2023-06-04,Entregue,E-commerce,6.68
443,41,2024-09-22,EM SEPARAÇÃO,Direto,11.57
444,115,2024-09-14,Cancelado,E-commerce,6.85
445,47,2023-11-18,Cancelado,E-commerce,6.28
446,183,2024-08-28,cancelado,Direto,0.25
447,140,2024-06-27,Em separação,Direto,0.57
448,70,2024-10-11,Entregue,E-commerce,6.69
449,105,2024-08-03,Entregue,E-commerce,12.36
450,192,2023-10-18,Faturado,Direto,
451,56,19/08/2024,Faturado,Representante,
452,5,2024-08-02,FATURADO,Direto,
453,23,2023-01-08,Em separação,E-commerce,
454,123,2023-11-22,Entregue,Direto,13.85
455,194,2023-11-03,FATURADO,E-COMMERCE,10.68
456,103,2024-10-25,Cancelado,Direto,11.77
457,121,2024-07-22,entregue,Representante,9.37
458,67,2024-08-20,ENTREGUE,Representante,10.73
459,90,2024-03-29,ENTREGUE,E-COMMERCE,
460,10,2023-05-09,Em separação,Representante,7.88
461,24,2023-02-15,FATURADO,representante,8.11
462,136,2023-12-05,Cancelado,E-commerce,5.26
463,2,2024-01-27,Entregue,E-commerce,
464,61,2024-01-20,Cancelado,Direto,
465,2,2023-11-19,CANCELADO,Direto,2.91
466,114,2023-06-28,Em separação,E-commerce,
467,7,2024-03-25,FATURADO,Representante,
468,164,2024-02-18,Cancelado,direto,1.01
469,75,2023-05-05,entregue,Direto,11.9
470,137,2024-01-12,Em separação,E-commerce,9.73
471,75,2023-02-01,entregue,E-commerce,
472,84,2023-12-08,Cancelado,Direto,7.6
473,133,2023-11-06,cancelado,Direto,2.09
474,42,2024-06-09,Em separação,Direto,8.7
475,124,2024-08-16,Faturado,E-Commerce,10.71
476,54,01/01/2024,Em separação,Direto,
477,158,2023-04-19,Em separação,E-commerce,10.26
478,19,2024-07-18,Em separação,Direto,7.69
479,43,2023-11-17,Cancelado,Representante,6.13
480,58,2024-08-18,em separação,Direto,14.18
481,26,2024-12-14,Cancelado,E-commerce,0.29
482,19,2024-10-23,Entregue,Direto,14.6
483,189,2024-07-19,Faturado,Direto,
484,93,2024-07-28,Em separação,E-COMMERCE,2.92
485,132,2024-04-27,Faturado,Representante,4.82
486,199,2023-12-08,Entregue,Direto,4.55
487,164,2023-10-19,Cancelado,Direto,7.88
488,136,2023-10-30,Em separação,Direto,12.25
489,88,2023-01-04,Em separação,Representante,14.09
490,58,2023-05-10,Cancelado,Direto,12.91
491,178,2023-11-28,Em separação,E-commerce,
492,151,2024-09-25,Faturado,REPRESENTANTE,12.54
493,70,2023-01-06,Cancelado,Representante,
494,141,2023-01-12,Entregue,Direto,8.87
495,32,2023-08-28,Faturado,Direto,5.13
496,71,2023-07-14,Entregue,Representante,14.71
497,65,24/04/2024,Cancelado,E-commerce,4.2
498,17,2023-02-15,Cancelado,E-commerce,
499,135,2024-08-20,ENTREGUE,Representante,13.26
500,108,2023-06-08,Faturado,Representante,8.01
501,88,2023-05-17,Cancelado,Direto,
502,79,2023-09-16,Entregue,REPRESENTANTE,1.41
503,174,2023-07-16,Entregue,direto,
504,48,2023-01-25,Faturado,Direto,8.14
505,81,28/10/2023,Em Separação,direto,11.87
506,132,2024-09-07,Em separação,E-commerce,4.0
507,145,2024-04-01,Em separação,representante,1.42
508,13,2023-03-27,Cancelado,representante,6.36
509,93,2023-11-17,entregue,E-commerce,5.35
510,50,2024-04-24,Em separação,Direto,
511,159,2024-07-10,Faturado,E-commerce,3.92
512,20,2023-04-12,Faturado,E-commerce,
513,188,2023-10-14,Faturado,Direto,11.17
514,123,2023-06-16,ENTREGUE,E-commerce,11.19
515,45,2024-09-23,entregue,Representante,11.02
516,8,2024-06-27,Cancelado,E-commerce,4.83
517,44,2024-07-25,Entregue,representante,5.8
518,40,2024-08-23,em separação,Direto,5.74
519,2,2023-10-08,Em Separação,Direto,13.96
520,159,2023-08-30,Em separação,Representante,2.33
521,15,2024-02-27,Faturado,Representante,6.64
522,198,2023-04-15,Entregue,Representante,14.91
523,120,2024-04-12,Entregue,E-commerce,11.77
524,137,2024-06-16,Faturado,E-commerce,
525,96,2024-05-22,Em separação,Representante,0.36
526,172,2024-10-23,Faturado,E-commerce,10.82
527,114,2024-04-22,Em separação,Direto,12.55
528,75,2024-10-11,Em separação,Representante,1.47
529,72,2024-06-07,Cancelado,Representante,11.71
530,22,2024-06-09,Faturado,REPRESENTANTE,2.86
531,169,2023-02-24,Cancelado,representante,7.68
532,196,2024-02-21,CANCELADO,Direto,
533,200,2024-03-30,Cancelado,Direto,13.34
534,9,2024-11-07,Cancelado,direto,12.83
535,10,2024-09-11,Cancelado,E-COMMERCE,
536,26,2023-04-20,Faturado,Representante,7.37
537,150,2023-12-18,Faturado,E-COMMERCE,6.72
538,82,2024-08-14,faturado,REPRESENTANTE,
539,31,2023-03-31,cancelado,representante,3.31
540,181,2024-11-19,Entregue,Direto,14.63
541,134,2024-01-25,Entregue,direto,8.06
542,154,2024-07-19,Em separação,E-commerce,6.18
543,33,2024-08-01,em separação,E-commerce,10.31
544,148,2024-02-10,Faturado,Direto,11.85
545,6,2024-01-11,faturado,Representante,1.39
546,105,2024-06-17,Em separação,Direto,
547,160,2024-08-29,Em separação,Representante,11.14
548,170,2024-02-13,Faturado,E-commerce,0.88
549,187,2023-05-23,Cancelado,Direto,9.41
550,51,2024-05-25,Faturado,e-commerce,
551,74,2023-06-13,Em separação,DIRETO,0.79
552,87,2024-08-01,Em separação,E-Commerce,0.91
553,55,2024-01-08,CANCELADO,Representante,10.37
554,28,2024-04-27,Em Separação,Direto,11.19
555,172,2024-02-02,Cancelado,REPRESENTANTE,7.93
556,148,2024-02-24,Entregue,E-commerce,12.19
557,157,2024-10-19,Entregue,Direto,14.31
558,87,2023-06-18,Em separação,Representante,9.24
559,31,2024-02-11,Entregue,Representante,0.63
560,173,2024-10-08,Cancelado,direto,4.65
