id_entrega,id_pedido,id_rota,data_prevista,data_realizada,status_entrega,km_percorrido,custo_frete,ocorrencia
34,4353,6,2023-05-16,2023-05-20,Devolvido,325.6,982.67,
35,2223,13,2024-10-05,2024-10-03,Entregue,255.5,1815.93,Sem ocorrência
36,3850,3,2023-08-07,2023-08-17,Entregue,405.0,656.72,
37,2897,20,2023-10-09,2023-10-17,Pendente,293.1,534.49,
38,2117,14,2024-09-25,2024-10-01,Devolvido,271.2,640.82,Avaria
39,4562,5,2023-03-14,2023-03-16,Devolvido,303.1,759.9,
40,2957,1,2024-12-01,2024-12-09,Devolvido,107.8,1962.98,
41,4171,18,2024-11-24,2024-12-01,Devolvido,293.5,315.28,
42,3174,18,2024-08-16,2024-08-15,devolvido,357.1,777.83,
43,4561,5,2023-08-23,2023-09-01,PENDENTE,131.8,989.72,
44,794,19,2023-08-02,2023-07-31,Entregue,185.9,1456.54,Atraso
45,4780,6,2024-03-20,2024-03-24,devolvido,367.0,1961.69,Recusa
46,2866,12,2023-12-09,2023-12-10,Devolvido,335.7,814.2,Sem ocorrência
47,4310,9,2023-12-09,2023-12-10,Entregue,261.5,,
48,680,15,2023-03-20,2023-03-30,Devolvido,24.2,1715.85,
49,3319,4,2024-12-16,2024-12-14,Devolvido,116.9,784.21,Recusa
50,1541,4,2023-10-16,2023-10-24,Devolvido,371.7,2035.91,Atraso
51,3703,15,2023-01-31,2023-02-08,Pendente,37.9,598.84,Atraso
52,4238,8,2023-04-10,2023-04-10,Pendente,136.0,648.14,
53,4278,4,2024-06-27,2024-07-02,Devolvido,,823.08,Recusa
54,787,3,2023-09-07,2023-09-07,Pendente,386.6,1527.02,Avaria
55,4770,15,2024-09-30,2024-10-07,Pendente,58.0,1018.3,Sem ocorrência
56,4344,4,2023-07-28,2023-07-29,Devolvido,132.0,1818.96,
57,4715,10,2023-04-19,2023-04-18,Entregue,341.0,787.88,Sem ocorrência
58,2999,8,2023-08-03,2023-08-05,ENTREGUE,196.7,1656.67,
59,2625,16,2024-12-12,2024-12-14,Devolvido,239.4,1983.16,
60,379,17,2023-08-19,2023-08-27,Entregue,373.8,756.41,Sem ocorrência
61,4403,3,2023-07-01,2023-06-30,ENTREGUE,384.4,1207.03,Sem ocorrência
62,4413,17,2023-06-05,2023-06-09,Entregue,166.1,1908.83,Recusa
63,3324,8,2023-05-06,2023-05-10,Pendente,67.9,436.24,
64,4232,12,2023-01-19,2023-01-18,Devolvido,231.0,1573.94,Recusa
65,4927,19,2024-08-14,2024-08-24,Entregue,392.2,1537.45,Avaria
66,3083,2,2023-03-05,2023-03-06,devolvido,,1959.45,
67,620,20,2023-04-24,2023-04-22,Devolvido,239.5,2058.3,
68,4678,3,2023-12-03,2023-12-11,Devolvido,278.0,1441.11,
69,4103,11,2024-07-12,2024-07-22,Devolvido,137.1,828.37,
70,1492,1,2024-01-08,2024-01-06,Entregue,32.6,1457.19,Atraso
71,4647,17,2024-12-19,2024-12-27,Devolvido,308.9,1515.51,Avaria
72,4769,17,2023-11-13,2023-11-22,Entregue,153.8,1460.92,Avaria
73,3016,15,2023-05-21,2023-05-20,Pendente,363.4,1552.91,Atraso
74,4472,13,2023-06-07,2023-06-07,Entregue,257.9,1831.12,Recusa
75,4704,6,2024-05-22,2024-05-25,Entregue,162.8,1084.79,
76,4585,20,2023-12-16,2023-12-26,Entregue,199.3,165.86,
77,2258,2,2024-03-16,2024-03-17,Entregue,369.8,524.86,
78,2216,10,2023-07-18,2023-07-18,Devolvido,129.8,530.22,
79,2100,11,06/02/2023,2023-02-14,Entregue,62.1,562.24,
80,1956,19,2023-02-13,2023-02-23,ENTREGUE,200.4,212.36,
81,4290,18,2024-11-26,2024-11-28,Entregue,288.1,806.88,
82,1983,1,2024-05-18,2024-05-18,Pendente,243.7,2025.06,
83,607,16,2024-01-31,2024-02-09,pendente,168.5,1517.88,
84,1291,11,2023-01-22,2023-01-25,Pendente,206.0,,Avaria
85,4320,1,2024-05-02,2024-05-11,Pendente,114.1,2462.36,Avaria
86,3267,18,2024-01-10,2024-01-12,Devolvido,319.2,1731.32,
87,185,2,2023-04-06,2023-04-12,Devolvido,179.6,,
88,1613,6,2024-02-10,2024-02-19,Entregue,194.2,744.21,
89,3712,7,2023-11-22,2023-11-27,pendente,257.8,,
90,207,12,2024-08-13,2024-08-23,Devolvido,322.2,702.01,
91,3562,4,23/03/2023,2023-03-23,Devolvido,,1188.39,Sem ocorrência
92,3519,14,2024-10-12,2024-10-11,Entregue,92.0,1669.04,
93,156,12,2023-05-09,2023-05-15,entregue,263.0,1679.96,
94,3039,9,2024-12-19,2024-12-26,ENTREGUE,266.5,1463.32,
95,619,20,2024-12-27,2024-12-26,PENDENTE,124.8,1465.14,Atraso
96,2509,18,2024-12-19,2024-12-19,Pendente,408.7,1635.85,Recusa
97,4086,2,2023-03-12,2023-03-19,Devolvido,108.0,2030.29,
98,683,12,2023-07-21,2023-07-28,Pendente,124.5,928.33,
99,1336,9,2023-03-25,2023-03-30,Devolvido,289.7,1180.23,
100,2192,12,2023-10-24,2023-10-24,Pendente,176.3,1479.26,Avaria
101,685,20,2023-02-23,2023-03-02,Devolvido,325.9,1253.5,
102,3441,16,2024-09-16,2024-09-16,Devolvido,108.9,2206.58,
103,303,20,2023-06-19,2023-06-21,Entregue,199.7,389.2,
104,1899,11,2023-08-26,2023-08-25,Devolvido,184.4,2124.92,
105,3172,16,2024-05-28,2024-05-27,Entregue,53.8,2044.2,
106,2476,14,2023-08-23,2023-09-02,PENDENTE,,,
107,3253,9,2024-03-24,2024-03-28,Devolvido,362.2,2280.61,
108,1667,6,2023-10-09,,PENDENTE,415.7,1424.47,Avaria
109,2141,10,2023-09-10,2023-09-17,Entregue,333.2,1077.18,
110,4782,9,2023-09-29,2023-09-28,Pendente,219.1,1867.72,
111,4073,3,2024-01-19,2024-01-18,Entregue,193.5,883.41,
112,2227,13,2024-10-02,2024-10-06,Devolvido,185.8,718.03,
113,1932,11,2024-07-07,2024-07-09,Devolvido,245.2,1939.16,
114,950,4,2024-05-20,2024-05-23,Entregue,164.4,1027.29,
115,3603,1,2023-05-14,2023-05-21,Devolvido,329.2,166.54,
116,3995,13,2023-09-11,2023-09-21,Devolvido,238.2,1623.65,
117,3821,19,2023-10-07,,Entregue,184.2,644.14,Atraso
118,1462,2,2024-12-20,2024-12-25,Entregue,255.0,101.91,
119,4495,17,2023-04-23,2023-04-30,Pendente,114.4,1100.92,Avaria
120,2626,16,2024-09-22,2024-09-21,Entregue,204.2,2102.81,Sem ocorrência
121,2209,8,2023-03-07,2023-03-16,Devolvido,131.5,468.35,
122,3999,18,2023-05-21,2023-05-22,Entregue,142.5,324.4,
123,556,7,2024-08-07,2024-08-09,Pendente,280.8,1530.53,
124,158,2,2023-02-07,2023-02-11,Pendente,419.0,520.6,
125,2920,6,2023-04-28,2023-05-04,DEVOLVIDO,270.6,1378.56,Sem ocorrência
126,3772,5,2024-01-18,2024-01-25,pendente,339.3,929.83,Recusa
127,4067,18,2023-12-28,2024-01-01,ENTREGUE,202.9,2319.81,Avaria
128,1533,10,2024-06-14,2024-06-22,Entregue,256.0,714.18,
129,2874,9,2023-03-16,2023-03-14,DEVOLVIDO,,,
130,2799,4,2024-04-12,2024-04-13,Entregue,57.9,620.11,Recusa
131,2891,20,2023-12-01,2023-12-06,Entregue,,2087.88,
132,1427,16,2024-01-03,2024-01-03,ENTREGUE,50.0,246.24,Avaria
133,2048,14,2024-08-08,2024-08-06,Pendente,,1943.33,Recusa
134,4686,20,2023-12-16,2023-12-25,Pendente,46.1,1489.5,
135,2574,19,2024-09-30,2024-09-28,pendente,35.3,954.94,
136,3178,5,2023-09-07,2023-09-11,Pendente,273.8,177.28,Avaria
137,167,17,2024-04-04,2024-04-05,Devolvido,360.5,1358.19,Recusa
138,1169,2,2024-03-01,,ENTREGUE,163.7,236.87,Recusa
139,2176,7,2023-11-02,2023-11-07,ENTREGUE,306.6,1114.46,Avaria
140,3944,5,2024-06-11,2024-06-10,Pendente,334.6,310.38,Atraso
141,1021,3,2024-07-02,2024-07-08,Devolvido,21.7,263.82,
142,3663,11,2024-03-28,2024-03-28,Devolvido,173.9,871.99,Avaria
143,2089,9,24/07/2023,,Devolvido,86.7,2099.65,Avaria
144,1866,18,2024-06-16,2024-06-16,Pendente,209.1,1661.52,
145,450,1,2024-08-08,,DEVOLVIDO,,967.79,
146,1523,5,2023-03-29,2023-03-29,Entregue,99.6,1088.36,Sem ocorrência
147,2979,20,2024-07-21,2024-07-24,Pendente,188.3,1062.43,Atraso
148,4148,1,2023-04-28,02/05/2023,Pendente,139.2,,Avaria
149,4934,7,2024-04-13,2024-04-13,Pendente,150.8,2191.83,
150,168,15,2024-07-04,2024-07-11,Pendente,54.5,487.19,Atraso
151,2208,14,2023-12-06,,DEVOLVIDO,44.2,2244.76,
152,1181,6,2024-01-08,2024-01-15,Pendente,176.1,2088.96,Atraso
153,1043,8,2024-11-16,2024-11-24,Pendente,362.0,1623.93,
154,175,15,2024-03-04,2024-03-02,ENTREGUE,401.6,1860.85,Recusa
155,2137,12,2023-02-06,2023-02-16,Devolvido,396.1,161.59,Sem ocorrência
156,1866,5,2024-03-09,2024-03-17,Entregue,222.7,1394.78,
157,1487,14,2024-06-06,,Pendente,20.3,1950.57,
158,2718,20,2023-04-15,2023-04-20,Entregue,227.3,1819.7,Avaria
159,1255,19,2023-09-12,2023-09-16,Devolvido,355.8,,
160,441,9,2024-08-15,,entregue,180.5,349.14,Atraso
161,2233,3,2023-03-06,2023-03-13,Pendente,376.8,1993.22,Avaria
162,384,15,2024-10-02,2024-10-09,Devolvido,55.6,633.75,
163,2483,16,2023-03-09,2023-03-19,Pendente,222.5,1357.15,Atraso
164,4386,2,2023-09-04,2023-09-10,Devolvido,338.7,165.81,
165,3322,1,23/08/2023,,Devolvido,308.7,1749.3,
166,3831,3,2024-11-27,2024-11-26,Pendente,412.2,966.08,Avaria
167,3074,2,2023-12-29,2024-01-02,Entregue,406.2,710.67,
168,2954,5,2024-01-27,2024-01-31,Entregue,402.6,1796.16,
169,2567,13,2023-05-30,2023-06-04,DEVOLVIDO,56.2,2350.47,Avaria
170,1825,7,2024-07-21,2024-07-31,Entregue,176.7,1333.79,
171,3049,8,2024-08-24,2024-08-27,Pendente,64.5,324.29,
172,2623,18,2024-04-03,2024-04-02,Devolvido,280.2,670.99,
173,512,5,2024-09-15,2024-09-24,Pendente,113.7,,
174,777,19,2024-04-01,30/03/2024,Pendente,75.0,2055.42,Avaria
175,2075,14,2023-03-30,2023-04-04,Devolvido,109.0,2387.29,Sem ocorrência
176,1185,14,2024-08-02,2024-08-02,Entregue,208.4,,Sem ocorrência
177,410,11,2024-06-14,2024-06-16,Devolvido,212.0,1320.86,
178,3567,11,2024-09-30,2024-10-10,DEVOLVIDO,386.2,635.16,Sem ocorrência
179,290,1,2023-11-17,2023-11-15,devolvido,380.4,743.38,
180,4792,11,22/03/2023,2023-03-30,Entregue,258.3,513.5,
181,1236,16,2024-05-25,2024-06-01,devolvido,273.2,409.07,Avaria
182,4025,2,2024-04-09,2024-04-15,Pendente,342.0,,
183,351,6,2024-02-04,2024-02-14,Pendente,187.3,1853.34,
184,2951,18,2023-08-03,2023-08-12,Devolvido,267.4,2452.53,
185,305,14,2023-04-03,,Entregue,193.3,1305.42,
186,818,10,2023-09-01,,Entregue,185.3,2327.25,
187,1526,15,2024-02-23,2024-02-29,Entregue,102.3,1810.01,
188,3331,15,2023-08-20,2023-08-23,Entregue,415.8,,Recusa
189,4715,2,2024-11-04,2024-11-08,Pendente,263.7,2376.83,Recusa
190,1572,18,2024-06-01,2024-06-09,Devolvido,287.6,2397.8,Sem ocorrência
191,4882,18,2023-08-23,2023-08-30,Devolvido,396.6,2158.85,Avaria
192,866,5,2023-05-23,,Pendente,240.5,771.46,Recusa
193,207,11,2024-03-20,2024-03-29,Devolvido,292.2,365.77,Atraso
194,2840,6,2024-08-26,2024-09-05,Entregue,265.0,1100.01,
195,903,16,2023-08-02,2023-07-31,Pendente,88.9,1110.91,
196,2405,2,2024-12-12,2024-12-18,pendente,34.1,600.46,Atraso
197,2620,10,2023-09-17,20/09/2023,Pendente,140.5,314.28,
198,4575,2,2024-08-10,2024-08-11,Entregue,86.0,2047.27,Recusa
199,1934,4,2024-07-23,2024-07-23,Devolvido,20.9,576.0,
200,3634,5,2023-06-26,2023-06-24,Entregue,178.5,520.68,
201,4818,11,2024-04-11,2024-04-10,Entregue,297.5,601.59,
202,193,6,2023-07-23,2023-07-31,pendente,104.7,293.07,
203,4127,6,2023-07-04,2023-07-09,Pendente,150.3,1093.49,
204,1818,7,2024-04-30,2024-05-07,Pendente,344.4,2447.91,
205,4857,8,2024-02-18,2024-02-27,Devolvido,302.1,494.75,Avaria
206,1350,18,2023-06-07,2023-06-07,Entregue,410.3,2321.53,
207,3240,12,2023-08-29,2023-09-08,Devolvido,91.7,1987.11,Sem ocorrência
208,3335,16,2023-03-02,2023-03-07,Devolvido,377.8,1955.56,
209,2142,15,2023-05-19,2023-05-23,Entregue,361.1,937.83,Avaria
210,3599,9,2023-02-27,2023-03-02,Devolvido,155.7,993.54,
211,3328,20,2023-11-26,2023-11-29,Entregue,92.0,1685.49,Recusa
212,645,1,2023-06-03,2023-06-06,Entregue,246.3,999.83,
213,3157,14,2024-01-09,2024-01-18,ENTREGUE,100.9,634.08,
214,745,16,2024-05-25,2024-06-02,Pendente,284.2,2114.23,Recusa
215,3414,13,2024-07-08,2024-07-07,pendente,316.5,488.26,
216,4318,8,2023-02-18,2023-02-16,Entregue,147.2,911.06,
217,2039,9,2024-09-22,2024-09-29,Entregue,91.8,,
218,1514,20,2023-01-19,2023-01-28,Entregue,130.3,2168.44,Avaria
219,1860,15,2024-11-18,2024-11-18,Devolvido,103.6,1715.45,
220,3054,14,2023-06-06,2023-06-08,Devolvido,232.5,1654.53,Recusa
221,1024,2,2023-10-12,2023-10-10,Entregue,61.6,1944.89,
222,1943,18,2023-12-27,2023-12-29,Entregue,78.8,1033.05,Recusa
223,4249,10,2023-04-06,2023-04-07,Devolvido,54.4,1775.77,
224,2557,15,2024-01-09,2024-01-07,Entregue,119.1,558.28,Atraso
225,939,9,2024-05-04,2024-05-04,Pendente,189.0,918.77,
226,2697,3,2023-03-23,2023-03-31,Devolvido,64.7,2190.31,
227,4200,13,2024-11-03,2024-11-02,DEVOLVIDO,371.5,2280.51,Atraso
228,4242,3,2024-02-14,2024-02-13,ENTREGUE,411.5,2200.54,Avaria
229,359,7,2023-11-06,2023-11-06,Devolvido,214.4,447.4,
230,622,7,2023-11-15,,Devolvido,259.6,1391.52,Avaria
231,4051,6,2024-12-28,2025-01-06,Devolvido,406.2,,
232,2788,14,2023-04-07,2023-04-11,Pendente,171.6,2432.9,Avaria
233,4683,14,2023-05-26,2023-05-31,Devolvido,118.3,2124.0,
234,3881,4,2024-07-29,2024-07-29,Devolvido,393.2,1021.74,
235,1088,12,2024-07-10,2024-07-10,Devolvido,242.2,567.75,
236,3105,9,2023-05-14,2023-05-17,PENDENTE,230.6,1837.98,Sem ocorrência
237,1485,7,2024-12-12,2024-12-13,Pendente,368.5,2249.02,Sem ocorrência
238,2657,7,2023-08-17,2023-08-25,devolvido,35.6,2002.35,
239,1611,20,2023-04-01,2023-04-04,entregue,33.6,2146.74,
240,3408,16,2023-06-25,2023-06-30,Devolvido,407.7,453.61,Recusa
241,3028,13,2024-11-29,2024-12-05,Devolvido,324.1,287.56,
242,3477,8,2023-11-29,2023-12-07,Entregue,355.8,805.68,
243,3530,16,2024-11-27,2024-11-25,Pendente,402.5,1885.74,
244,427,12,2024-10-22,2024-10-26,Pendente,,2049.58,Sem ocorrência
245,3062,17,2024-11-15,2024-11-18,PENDENTE,,1785.34,
246,1405,4,2023-09-25,2023-09-26,Devolvido,406.8,1169.07,
247,43,10,2024-06-23,2024-07-01,Devolvido,91.4,1447.39,Atraso
248,4127,1,2024-12-29,2025-01-08,Pendente,300.0,742.02,
249,4533,7,2023-10-31,2023-11-09,Entregue,91.9,1830.14,Recusa
250,2395,20,02/05/2023,2023-05-03,Pendente,169.2,,
251,3730,10,2023-06-25,2023-07-05,Devolvido,415.3,1446.41,Sem ocorrência
252,2295,17,2024-02-27,2024-03-06,Pendente,206.5,190.97,Recusa
253,3235,19,2023-10-17,2023-10-24,Pendente,,2103.44,Recusa
254,569,4,2023-12-08,2023-12-09,Pendente,166.4,1994.37,Avaria
255,1751,2,2024-08-19,2024-08-18,ENTREGUE,122.0,1745.37,
256,1841,20,2024-10-27,,Devolvido,191.1,2357.39,Avaria
257,3419,13,2024-05-09,17/05/2024,Pendente,220.9,216.03,Recusa
258,4462,19,2024-01-29,,PENDENTE,71.1,2255.77,
259,284,14,2024-06-18,2024-06-16,Devolvido,192.8,,
260,746,16,2024-10-08,2024-10-12,Entregue,80.0,1655.65,Recusa
261,3368,10,09/07/2024,2024-07-18,Entregue,53.4,1425.7,Atraso
262,2623,17,2023-06-28,2023-07-05,Entregue,223.9,1417.72,
263,3889,3,2023-05-03,2023-05-02,pendente,311.9,2044.29,
264,1910,11,2023-12-14,2023-12-21,Entregue,105.6,1847.71,Recusa
265,4609,19,2023-06-18,2023-06-18,Pendente,38.6,409.5,
266,4688,18,2024-03-21,2024-03-31,Devolvido,,451.14,
267,4192,3,2024-11-02,2024-11-05,Entregue,236.9,640.75,Sem ocorrência
268,1992,2,2023-07-25,2023-07-27,Devolvido,36.3,102.36,
269,4790,8,2023-11-02,2023-11-10,entregue,392.1,2079.36,Atraso
270,711,9,2024-12-21,2024-12-19,Devolvido,181.4,840.82,
271,2366,14,2023-10-12,2023-10-15,ENTREGUE,185.2,248.86,Avaria
272,1370,4,2023-03-16,2023-03-26,Pendente,,2035.75,
273,348,5,2024-10-31,2024-10-31,Entregue,274.8,1432.41,Atraso
274,4557,13,2024-05-10,2024-05-11,Devolvido,135.4,794.19,
275,4700,15,2023-05-06,2023-05-06,pendente,308.6,1032.29,
276,1475,19,2023-02-01,2023-01-30,Pendente,152.9,1237.59,
277,1060,14,2023-10-18,2023-10-28,pendente,80.2,1839.6,
278,3953,14,2024-02-27,2024-03-06,Pendente,409.8,636.94,
279,2074,8,2024-11-08,2024-11-09,Pendente,326.5,1987.3,
280,2783,18,2024-06-22,2024-06-22,Entregue,204.7,1563.88,
281,2231,20,2023-06-02,2023-05-31,Devolvido,154.5,1568.32,
282,2875,13,2024-09-24,2024-09-28,Devolvido,399.9,2457.09,Sem ocorrência
283,4871,20,2024-02-19,2024-02-28,Devolvido,368.8,1073.39,Avaria
284,606,15,2023-03-06,2023-03-10,Pendente,112.2,1334.27,
285,2272,11,2024-11-16,2024-11-25,ENTREGUE,295.6,1614.5,Atraso
286,2151,14,2024-04-01,2024-04-08,Pendente,244.0,1170.89,
287,291,8,16/11/2024,2024-11-24,Entregue,330.9,,Atraso
288,2814,14,2023-10-20,2023-10-20,Entregue,347.0,80.15,Sem ocorrência
289,3322,10,2023-10-14,,Entregue,158.0,1434.67,Sem ocorrência
290,397,14,2023-03-23,2023-04-02,Entregue,167.2,1018.85,
291,3397,13,2024-06-30,2024-07-03,Entregue,42.1,2363.46,Recusa
292,327,4,2023-08-26,2023-09-04,Pendente,,371.85,
293,4508,8,2024-10-05,2024-10-04,Pendente,,203.13,Recusa
294,3938,5,2023-01-16,2023-01-26,Devolvido,300.7,1350.64,Sem ocorrência
295,637,15,2023-01-15,2023-01-15,Entregue,231.4,2240.43,Recusa
296,1490,20,26/12/2023,2023-12-27,Pendente,109.7,595.31,Sem ocorrência
297,3464,20,2024-10-02,2024-10-03,devolvido,176.0,2016.33,
298,2170,9,2024-12-04,2024-12-12,Devolvido,,2063.29,
299,3447,18,2023-09-23,2023-09-25,Entregue,126.6,1241.94,
300,1955,16,2024-07-25,2024-08-03,Pendente,232.5,961.57,
301,3421,17,2023-06-16,2023-06-23,Devolvido,62.4,510.61,
302,1963,11,2024-08-26,2024-08-26,PENDENTE,368.7,2325.58,
303,3983,12,2024-06-21,2024-06-19,ENTREGUE,83.0,643.08,Avaria
304,1025,1,2024-03-13,,Entregue,98.8,1863.15,
305,4385,13,2024-05-22,2024-05-21,Entregue,199.1,,
306,1159,9,2024-02-07,06/02/2024,Entregue,224.9,,Sem ocorrência
307,3211,8,2024-06-18,2024-06-25,pendente,404.0,1944.45,Recusa
308,3592,15,2023-04-07,2023-04-09,Devolvido,141.8,1687.21,Atraso
309,575,7,2023-01-23,2023-01-28,Pendente,360.2,701.57,
310,1934,17,26/09/2023,2023-09-27,Pendente,188.3,991.78,Avaria
311,4437,12,2024-06-10,2024-06-17,Entregue,142.5,1770.67,Recusa
312,3390,7,2023-02-07,,Devolvido,307.7,1106.46,Atraso
313,4283,14,2023-07-23,2023-07-26,DEVOLVIDO,226.2,815.26,
314,3496,13,2024-07-29,2024-08-05,DEVOLVIDO,172.8,1595.95,
315,1547,2,2024-06-12,2024-06-18,entregue,270.1,737.15,
316,68,13,2023-11-18,2023-11-18,Devolvido,331.4,265.79,
317,427,5,2023-05-05,,Devolvido,323.8,1904.08,Avaria
318,1368,9,2023-11-24,2023-12-01,ENTREGUE,,832.99,Avaria
319,4080,11,2024-01-31,2024-01-31,Devolvido,156.9,,
320,2854,5,2023-03-11,2023-03-19,Entregue,285.0,1114.6,
321,143,3,2024-08-03,2024-08-05,Entregue,226.8,740.81,
322,4530,2,2023-09-10,2023-09-11,Entregue,248.0,2059.45,
323,315,14,2024-04-05,2024-04-14,PENDENTE,369.2,2423.44,
324,4916,17,2023-11-30,2023-12-02,Pendente,316.7,871.82,
325,826,15,2024-01-27,29/01/2024,Devolvido,,2244.27,
326,739,3,2023-12-07,2023-12-08,Pendente,334.0,1865.57,Sem ocorrência
327,1837,11,2024-02-24,28/02/2024,Devolvido,160.9,1115.32,
328,2602,19,2024-04-24,2024-05-01,Pendente,226.0,1252.09,
329,4903,3,2024-06-22,2024-06-21,Devolvido,212.3,1208.38,Sem ocorrência
330,969,1,2024-03-17,2024-03-23,Pendente,348.3,933.46,
331,3812,15,2024-12-03,2024-12-10,pendente,211.0,1583.28,Atraso
332,719,20,2023-04-11,2023-04-11,Pendente,278.2,1109.92,
333,4402,10,2023-09-28,2023-09-29,Entregue,,2324.69,Atraso
334,906,11,2024-04-25,2024-05-04,Entregue,159.9,1128.49,Avaria
335,2834,5,2023-06-03,,Entregue,250.6,584.08,Recusa
336,3485,3,2023-05-02,2023-04-30,Entregue,97.2,327.2,
337,3651,14,2023-12-01,2023-12-01,DEVOLVIDO,407.2,2455.87,Avaria
338,69,16,2023-08-29,27/08/2023,Devolvido,44.1,211.25,Sem ocorrência
339,4900,19,2023-10-14,2023-10-22,Entregue,72.9,,
340,3200,9,25/01/2023,2023-01-25,pendente,309.7,1356.7,
341,3997,10,2023-08-25,26/08/2023,Entregue,139.9,,
342,2286,11,2024-06-07,2024-06-06,Devolvido,,306.1,
343,3788,15,2023-01-06,2023-01-12,Entregue,249.7,1120.9,Sem ocorrência
344,2926,8,2023-12-30,2024-01-09,Pendente,292.5,2327.06,
345,1307,20,2023-12-30,2024-01-08,Pendente,178.5,627.96,Avaria
346,3452,11,2023-06-27,2023-06-27,Devolvido,80.8,965.14,
347,363,7,2024-06-21,2024-06-23,Devolvido,,1643.82,Avaria
348,827,12,2023-05-22,2023-05-22,ENTREGUE,241.1,392.51,
349,2836,5,2024-12-04,2024-12-11,Pendente,277.7,612.1,Recusa
350,563,1,2024-06-20,2024-06-22,Pendente,58.6,2181.65,Sem ocorrência
351,2484,12,2023-07-01,2023-07-06,Pendente,339.3,2058.41,
352,1417,8,2023-10-16,2023-10-14,Pendente,22.2,2418.12,
353,861,5,2024-06-24,2024-06-29,Entregue,344.4,832.01,
354,4390,16,2024-04-17,,Pendente,358.6,615.02,
355,4155,11,2023-09-16,2023-09-26,Devolvido,123.6,875.53,
356,2335,2,2024-06-08,2024-06-06,Pendente,262.4,1255.77,
357,2785,16,26/01/2024,2024-01-26,Devolvido,117.4,1035.04,
358,55,14,2023-08-01,2023-07-31,Entregue,,369.19,Avaria
359,4236,3,2023-08-01,2023-08-10,PENDENTE,241.3,837.65,Atraso
360,689,7,2023-02-02,2023-01-31,Pendente,308.2,854.09,Avaria
361,1521,7,05/06/2024,2024-06-06,DEVOLVIDO,106.1,341.26,
362,2352,2,2024-02-12,2024-02-12,Pendente,72.1,2376.99,Sem ocorrência
363,2643,5,2024-08-11,2024-08-17,Entregue,93.9,1151.3,Avaria
364,4458,2,2023-12-13,2023-12-16,Entregue,224.0,1305.63,Sem ocorrência
365,1806,7,2023-02-02,2023-02-08,Devolvido,21.6,1453.55,Sem ocorrência
366,2215,19,2024-02-17,2024-02-19,Pendente,172.5,472.11,Avaria
367,4156,2,2024-02-01,2024-02-11,Entregue,266.8,1149.66,
368,2922,4,2023-07-17,2023-07-17,pendente,49.5,2185.33,Atraso
369,4896,8,2023-03-19,2023-03-21,Entregue,39.3,2248.92,Avaria
370,3113,15,2023-12-31,2024-01-04,Entregue,268.9,,
371,1350,6,2023-01-22,2023-02-01,Devolvido,241.1,2322.56,
