COLETA ID,ID FAZENDA,ID ROTA,DATA,VOLUME,TEMPERATURA,GORDURA,PROTEINA,ACIDEZ,OBSERVACAO
76,233,20,2023-01-01,913.54,2.4,3.39,3.82,14.45,Digitado manual
79,36,18,2023-01-01,3260.18,3.7,5.38,2.87,16.73,
82,56,20,2023-01-02,262.23,9.0,4.11,3.56,16.21,Revisar valor
91,107,11,2023-01-02,3493.01,2.3,3.44,2.88,19.47,Revisar valor
96,151,12,02/01/2023,3791.82,3.7,5.13,3.02,15.52,Digitado manual
102,231,19,2023-01-02,4100.68,,3.65,3.45,14.89,Digitado manual
103,130,10,02/01/2023,4478.9,3.1,3.23,2.81,19.78,Revisar valor
105,128,3,2023-01-02,1250.33,4.1,4.67,3.75,19.51,
107,136,3,02/01/2023,1953.42,6.1,5.27,3.22,16.92,
116,200,3,02/01/2023,2490.28,4.3,4.02,3.65,17.47,Revisar valor
121,188,13,02/01/2023,1980.01,9.4,4.64,3.96,18.64,Digitado manual
125,226,3,02/01/2023,2154.25,6.0,3.29,3.11,18.76,Revisar valor
137,88,15,2023-01-02,2487.39,8.0,3.9,3.77,16.47,Revisar valor
140,223,11,2023-01-02,4553.95,3.8,3.73,3.57,16.67,
141,36,15,02/01/2023,1943.19,5.3,3.06,3.59,18.2,
148,141,13,2023-01-02,3631.7,3.8,4.56,3.76,18.16,Revisar valor
149,81,9,2023-01-02,3312.59,5.3,3.46,3.56,15.63,
155,160,14,02/01/2023,4871.72,4.6,3.69,,14.25,Revisar valor
160,210,17,2023-01-02,-1962.14,5.0,3.05,3.73,18.33,Revisar valor
163,164,12,02/01/2023,3566.31,3.8,3.03,3.59,18.99,Digitado manual
164,199,14,02/01/2023,3266.8,8.6,3.15,3.43,19.01,Digitado manual
170,147,17,02/01/2023,4147.22,6.5,,3.23,16.2,
176,134,16,02/01/2023,3549.78,6.5,4.63,3.54,15.48,Digitado manual
178,7,15,02/01/2023,4940.73,7.0,5.31,3.62,18.37,
180,38,7,2023-01-02,1203.25,6.4,4.37,3.99,18.01,
181,14,9,2023-01-02,4548.99,3.4,4.97,2.86,14.05,
182,15,12,02/01/2023,1502.29,,5.17,3.08,19.86,Revisar valor
183,174,18,02/01/2023,1714.19,2.7,5.42,,19.53,Digitado manual
193,92,2,02/01/2023,1384.56,6.9,4.8,3.93,17.22,Revisar valor
194,206,4,2023-01-02,3579.74,5.6,3.11,3.42,18.41,
200,170,15,2023-01-02,1685.69,4.3,5.25,2.8,14.07,
203,119,3,02/01/2023,3095.77,2.4,3.45,3.53,17.57,Digitado manual
205,50,4,2023-01-02,511.64,7.6,4.32,3.63,14.66,Revisar valor
209,41,9,2023-01-02,3274.97,8.3,4.27,2.81,16.05,Revisar valor
214,176,8,03/01/2023,3580.9,3.4,5.23,,,Digitado manual
217,235,15,2023-01-03,1689.88,5.8,3.36,3.11,15.1,
221,17,19,2023-01-03,3414.1,8.7,4.49,2.92,15.85,
222,39,20,2023-01-03,3071.64,8.2,4.24,2.91,19.32,Digitado manual
226,87,13,2023-01-03,3201.03,5.1,4.66,3.03,19.55,
228,161,15,2023-01-03,3282.77,9.1,5.33,3.35,18.92,Revisar valor
230,233,4,03/01/2023,2927.12,6.6,3.2,3.43,18.5,Digitado manual
234,100,3,2023-01-03,3196.72,3.0,4.96,3.54,15.54,Digitado manual
235,48,5,03/01/2023,3098.34,7.3,3.44,3.08,,Digitado manual
236,153,20,03/01/2023,4923.54,9.5,4.24,3.72,16.64,Revisar valor
247,23,11,2023-01-03,2074.32,9.2,4.29,3.39,19.06,
250,96,10,03/01/2023,4844.06,7.6,4.58,2.9,18.41,
255,241,7,2023-01-03,3155.02,5.4,5.46,3.19,17.46,Revisar valor
261,24,16,2023-01-03,740.86,6.0,5.31,3.24,15.51,
263,130,7,03/01/2023,3044.99,8.0,3.58,3.07,16.48,
273,84,4,2023-01-03,3438.33,5.1,3.1,3.58,17.36,Revisar valor
275,26,14,03/01/2023,1893.02,4.2,3.86,3.43,18.26,
277,174,3,03/01/2023,2075.28,2.9,4.74,3.85,17.76,Revisar valor
278,34,5,03/01/2023,4853.96,5.8,,,18.81,
280,198,6,2023-01-03,833.38,8.3,3.93,3.81,15.71,Digitado manual
283,134,1,2023-01-03,2761.49,5.2,3.36,,18.43,Revisar valor
285,2,16,03/01/2023,1825.69,9.2,4.38,3.28,16.68,Revisar valor
287,12,16,03/01/2023,4884.03,4.5,5.36,3.23,19.12,Digitado manual
289,210,14,2023-01-03,986.19,7.8,5.09,2.97,19.93,Digitado manual
290,86,19,03/01/2023,1810.0,8.0,4.02,3.3,18.26,Digitado manual
291,120,13,2023-01-03,857.25,4.3,5.06,3.5,18.44,Revisar valor
294,96,5,2023-01-04,1267.32,7.5,3.52,3.31,,
295,132,7,2023-01-04,2524.42,2.9,4.28,2.94,14.4,Digitado manual
297,148,17,04/01/2023,1869.62,8.2,4.26,3.78,17.17,Digitado manual
298,5,18,2023-01-04,4828.47,2.0,5.31,3.82,18.19,Revisar valor
313,70,11,04/01/2023,1719.27,6.6,3.25,3.2,18.59,Revisar valor
316,163,10,2023-01-04,1206.75,6.0,4.66,3.3,17.09,
317,229,17,2023-01-04,2828.3,8.9,3.53,3.69,19.62,
322,164,12,04/01/2023,505.19,7.4,3.99,3.81,17.43,Digitado manual
324,244,8,04/01/2023,3004.77,9.5,3.27,3.13,,
327,161,4,2023-01-04,3266.96,6.3,,3.95,19.51,
328,47,10,04/01/2023,4694.35,3.7,5.29,3.86,,Digitado manual
329,196,16,04/01/2023,4358.93,5.8,5.1,3.85,18.95,
330,25,20,04/01/2023,2630.41,7.8,3.82,3.71,15.1,
333,43,13,2023-01-04,1964.48,9.6,3.56,3.91,17.76,Digitado manual
336,81,7,2023-01-04,2033.95,6.8,3.71,3.3,14.88,
337,176,8,2023-01-04,1456.64,5.0,,2.96,18.16,Revisar valor
340,202,16,2023-01-04,1060.99,9.4,3.33,3.44,,Revisar valor
350,36,20,2023-01-04,4070.5,3.1,5.08,3.39,16.86,Revisar valor
352,73,17,2023-01-04,944.33,2.7,3.2,3.16,18.11,Digitado manual
354,125,3,04/01/2023,1416.23,,4.85,3.74,14.27,Revisar valor
355,106,15,2023-01-04,3581.02,8.1,5.02,3.9,15.27,
356,88,4,04/01/2023,4914.49,,,3.59,16.43,Revisar valor
357,228,10,2023-01-04,3772.38,6.9,3.9,3.63,15.82,Revisar valor
359,56,15,04/01/2023,2785.2,3.2,3.29,3.69,,Digitado manual
362,57,1,2023-01-04,1313.15,5.4,3.16,3.3,16.97,Digitado manual
364,144,15,2023-01-04,4296.58,3.0,4.78,3.8,18.41,Revisar valor
369,30,4,2023-01-04,3951.93,,3.26,3.85,14.94,
371,118,10,04/01/2023,4207.1,6.0,3.93,3.23,14.91,
375,241,20,2023-01-04,4169.62,9.4,4.12,3.45,17.91,
376,123,13,2023-01-04,4460.84,8.2,3.21,3.27,19.28,Digitado manual
381,114,14,04/01/2023,670.34,2.7,5.22,3.34,17.16,Revisar valor
384,183,20,04/01/2023,1972.79,8.8,3.92,3.43,15.83,Digitado manual
386,201,2,04/01/2023,787.17,5.3,4.41,3.74,18.32,Digitado manual
391,32,3,05/01/2023,974.8,4.4,3.31,3.47,16.59,Digitado manual
396,159,10,05/01/2023,1119.26,8.5,5.45,2.84,18.22,Digitado manual
409,169,16,2023-01-05,2797.49,4.5,,3.5,14.34,Digitado manual
410,137,14,05/01/2023,4208.84,4.8,4.6,2.88,16.85,Revisar valor
416,63,20,05/01/2023,4717.58,9.1,3.16,3.91,15.15,Digitado manual
417,213,8,2023-01-05,1996.43,9.4,4.47,3.15,15.48,Digitado manual
427,103,14,05/01/2023,1101.66,3.7,4.4,3.49,,
432,88,13,05/01/2023,1768.51,3.3,4.34,2.88,19.19,Revisar valor
440,66,9,05/01/2023,2301.07,8.7,3.05,3.15,16.35,Digitado manual
445,44,12,05/01/2023,779.86,,,3.06,17.95,Digitado manual
447,37,11,05/01/2023,1409.31,9.9,4.69,3.63,17.81,
448,200,16,05/01/2023,1726.24,,5.28,3.41,17.02,Digitado manual
449,235,4,2023-01-05,263.8,4.5,4.89,2.87,15.78,
455,189,14,05/01/2023,2013.04,6.0,4.9,,16.29,
456,16,20,05/01/2023,3842.52,6.3,3.44,3.17,17.37,Digitado manual
459,186,12,2023-01-05,3862.16,6.1,4.72,3.58,18.41,
461,15,3,2023-01-05,4239.28,7.2,3.99,3.88,15.13,Revisar valor
468,208,11,2023-01-05,1476.01,6.8,4.7,3.18,16.17,Revisar valor
469,67,11,05/01/2023,3131.88,,5.18,3.8,14.15,Digitado manual
473,52,17,05/01/2023,2945.08,2.3,3.22,4.0,16.8,Revisar valor
475,153,9,05/01/2023,4659.04,3.8,4.19,2.95,17.21,Digitado manual
478,127,11,05/01/2023,757.31,9.6,3.0,3.44,19.88,Digitado manual
479,131,5,05/01/2023,1952.11,6.2,3.56,3.45,14.87,
480,130,15,05/01/2023,4218.64,3.2,4.87,,15.92,Digitado manual
481,99,19,2023-01-05,3505.28,5.8,4.24,3.25,16.0,Digitado manual
488,216,13,05/01/2023,4781.87,8.2,4.68,3.36,16.29,Digitado manual
494,222,8,05/01/2023,4890.09,4.4,4.3,3.59,17.46,Digitado manual
497,64,9,05/01/2023,2120.29,7.4,3.36,3.56,17.8,
498,33,17,2023-01-05,3629.34,6.8,3.38,,17.62,
500,147,8,2023-01-05,670.14,5.0,5.31,3.67,18.93,
501,115,10,2023-01-05,2739.01,6.4,5.24,3.94,16.07,
504,219,8,2023-01-05,1523.95,4.4,5.37,3.18,14.48,Digitado manual
508,215,20,06/01/2023,4183.21,7.9,3.72,3.71,14.91,Revisar valor
510,132,19,2023-01-06,1069.7,7.0,3.3,3.13,,Digitado manual
512,14,9,06/01/2023,1660.59,9.5,3.62,,17.96,
513,109,20,2023-01-06,1569.52,2.8,5.37,3.17,14.08,Revisar valor
516,44,7,06/01/2023,1845.91,6.3,3.32,3.65,18.56,
517,96,12,2023-01-06,2889.66,5.6,5.28,3.3,,Digitado manual
523,139,1,2023-01-06,1615.5,8.6,5.41,3.97,19.87,Digitado manual
528,75,2,2023-01-06,299.44,3.1,3.67,3.52,14.06,
529,77,3,2023-01-06,2803.38,3.6,4.41,3.0,,
531,76,12,06/01/2023,1288.04,7.2,5.2,3.86,14.67,Revisar valor
538,101,1,2023-01-06,213.76,4.9,3.33,3.89,19.1,Digitado manual
539,56,18,06/01/2023,868.88,9.8,3.61,2.87,19.77,Digitado manual
547,15,19,06/01/2023,1353.61,6.5,,3.18,14.05,Digitado manual
550,158,7,2023-01-06,647.8,8.5,4.92,3.96,18.37,Revisar valor
555,28,5,2023-01-06,2163.36,5.5,4.56,2.9,16.7,
556,204,2,2023-01-06,4957.99,7.9,,3.82,14.95,
558,185,14,2023-01-06,4805.83,3.6,3.79,3.38,16.86,
559,48,16,06/01/2023,383.76,3.2,4.42,3.73,18.85,Digitado manual
561,199,14,2023-01-06,1632.02,6.2,3.65,2.91,16.05,
562,3,14,06/01/2023,989.76,5.9,4.96,3.32,17.42,Digitado manual
564,111,15,06/01/2023,1719.27,9.5,3.79,3.61,18.33,
566,51,7,06/01/2023,1237.46,9.8,3.04,2.82,17.01,Digitado manual
569,211,4,06/01/2023,4313.59,,5.33,3.7,17.27,Revisar valor
571,106,13,2023-01-06,4010.01,2.1,3.56,3.86,19.03,
573,207,18,06/01/2023,2946.5,9.8,4.61,3.76,14.77,
575,183,18,06/01/2023,3211.13,3.3,,2.81,14.92,Digitado manual
577,65,8,06/01/2023,1625.23,7.8,3.95,2.86,,Digitado manual
580,102,10,2023-01-06,2364.22,2.1,4.42,2.84,19.96,Revisar valor
582,200,1,06/01/2023,1951.48,4.6,4.82,3.12,19.72,
585,47,14,2023-01-06,3189.97,3.6,5.24,3.34,19.75,
589,113,11,06/01/2023,3829.77,,,3.13,16.72,Digitado manual
590,164,1,06/01/2023,3037.62,4.3,5.14,3.89,19.05,Digitado manual
594,112,18,06/01/2023,4098.95,9.9,5.17,3.74,19.68,Digitado manual
596,205,15,2023-01-06,4836.01,7.3,3.6,3.39,18.64,
597,187,3,06/01/2023,640.64,4.8,3.61,3.83,14.45,Digitado manual
598,235,15,06/01/2023,1219.88,8.5,3.26,3.51,19.15,Digitado manual
600,73,14,2023-01-06,2120.98,3.3,5.17,2.98,18.47,Revisar valor
602,244,15,2023-01-06,2268.07,4.2,4.62,3.31,16.42,Revisar valor
603,173,14,2023-01-06,2741.9,,3.62,2.94,17.45,Digitado manual
604,108,20,06/01/2023,2754.23,7.6,3.98,3.79,16.97,Revisar valor
605,201,20,06/01/2023,1177.16,,3.46,3.55,19.12,
607,217,1,2023-01-06,569.49,6.8,4.46,3.1,18.91,
610,166,17,2023-01-06,3059.57,,5.45,3.59,16.99,
611,226,12,06/01/2023,3756.86,3.7,5.3,2.93,17.76,
612,149,17,06/01/2023,4579.47,3.4,3.87,3.51,15.66,Revisar valor
617,193,13,06/01/2023,2471.25,5.4,3.25,3.16,17.38,Revisar valor
620,34,18,06/01/2023,2169.24,2.2,3.22,3.89,17.48,
621,155,10,2023-01-06,3180.27,2.4,3.31,3.36,17.11,Revisar valor
622,212,4,06/01/2023,606.36,4.7,3.73,3.2,18.44,
626,45,20,06/01/2023,3470.34,3.0,3.05,3.69,17.07,Digitado manual
630,88,12,2023-01-06,501.28,7.2,4.15,2.97,17.95,Revisar valor
638,65,8,2023-01-07,2295.32,,4.03,3.77,14.27,Revisar valor
641,217,12,2023-01-07,2329.0,8.2,4.63,3.12,,
643,19,2,07/01/2023,3679.57,9.8,4.62,2.94,14.2,
644,114,3,07/01/2023,2044.05,2.5,,3.26,15.35,Revisar valor
645,196,10,2023-01-07,3367.64,2.3,5.34,3.71,18.97,
646,96,1,2023-01-07,3815.93,4.7,4.09,3.68,14.34,Revisar valor
649,216,9,2023-01-07,385.31,7.3,5.03,2.95,15.93,Digitado manual
650,8,15,2023-01-07,1058.17,,3.9,3.47,17.48,Revisar valor
654,179,14,07/01/2023,2937.76,2.6,,3.53,19.85,Revisar valor
655,116,10,07/01/2023,1998.63,7.0,3.11,,17.65,Revisar valor
665,113,16,2023-01-07,3755.35,7.6,4.81,3.78,,Digitado manual
666,174,15,07/01/2023,3046.63,5.0,4.27,3.93,15.78,Digitado manual
668,58,14,2023-01-07,4435.44,6.2,4.54,3.14,15.64,Digitado manual
676,23,6,07/01/2023,2877.14,2.3,4.53,3.08,17.18,Revisar valor
677,150,10,2023-01-07,4413.87,7.3,4.58,3.45,15.31,Revisar valor
678,7,14,2023-01-07,4504.73,9.8,4.66,3.36,14.68,Digitado manual
683,9,6,07/01/2023,1938.07,8.7,4.79,2.99,16.48,Revisar valor
685,2,4,07/01/2023,3502.74,8.5,4.0,3.85,14.46,Revisar valor
688,146,9,2023-01-07,1266.81,5.9,4.33,2.82,16.36,
689,140,8,2023-01-07,2823.59,,4.93,3.37,15.86,Revisar valor
690,236,18,07/01/2023,3223.59,3.4,4.22,2.97,16.84,Digitado manual
693,175,3,07/01/2023,590.88,5.0,3.41,3.0,,
695,206,20,07/01/2023,3448.08,9.1,3.41,3.62,19.71,
696,128,7,07/01/2023,3101.69,9.5,4.8,2.96,,Digitado manual
699,220,9,2023-01-07,1962.92,6.5,3.51,2.92,15.07,
701,129,7,2023-01-07,1006.88,2.7,3.37,3.85,,
703,92,20,07/01/2023,2705.53,8.7,5.36,3.65,17.36,
704,159,18,07/01/2023,3987.03,9.2,3.45,3.83,16.08,
713,191,6,2023-01-07,634.7,4.5,3.05,2.81,16.76,
717,77,17,2023-01-07,4022.1,6.4,3.67,3.05,15.57,Digitado manual
720,183,19,2023-01-07,2307.24,6.6,4.0,3.1,16.03,Digitado manual
721,60,8,07/01/2023,1640.83,8.1,4.27,3.73,,
723,154,5,07/01/2023,4857.56,8.4,,2.98,15.81,Digitado manual
725,85,16,07/01/2023,2091.43,7.3,4.77,2.91,18.58,Digitado manual
726,6,14,2023-01-07,3911.65,6.8,3.87,,19.31,
729,230,15,07/01/2023,3475.23,8.4,4.83,3.29,14.97,Revisar valor
736,137,15,07/01/2023,3716.9,2.3,3.1,3.67,14.61,
737,62,10,2023-01-07,3681.92,,5.38,3.58,19.02,Digitado manual
740,80,9,2023-01-07,2188.76,5.7,4.59,3.07,15.33,
743,29,7,2023-01-07,2894.36,8.0,3.76,3.34,14.94,Digitado manual
744,121,14,07/01/2023,3196.47,,5.43,3.39,19.53,
745,68,4,2023-01-07,3114.18,5.2,3.28,3.84,19.91,
746,229,7,2023-01-07,2840.34,5.3,3.8,2.93,19.76,Digitado manual
749,108,17,07/01/2023,1276.12,10.0,4.83,3.19,17.42,Revisar valor
752,43,17,2023-01-07,4024.42,7.1,5.09,3.89,18.33,
753,235,14,2023-01-07,3793.32,8.9,5.16,3.3,18.3,
761,127,17,2023-01-07,2529.18,5.9,3.95,2.88,15.24,Digitado manual
767,51,13,08/01/2023,313.66,4.6,3.5,3.4,14.64,
773,125,13,08/01/2023,772.11,8.4,5.08,3.99,17.39,
776,3,5,08/01/2023,4468.91,7.2,4.62,3.43,18.92,Revisar valor
779,221,20,08/01/2023,1071.62,,3.32,2.88,19.57,Revisar valor
782,185,4,08/01/2023,4583.76,3.3,5.35,3.23,16.49,Revisar valor
785,200,11,08/01/2023,4828.33,2.4,,3.42,,
786,165,10,2023-01-08,3061.78,5.0,3.39,3.92,18.45,Digitado manual
787,50,4,2023-01-08,1071.75,,3.51,3.25,,Revisar valor
791,158,7,2023-01-08,3793.85,3.0,5.01,3.59,18.3,
792,194,9,2023-01-08,3152.07,3.5,3.82,3.6,17.46,
795,65,7,08/01/2023,4859.74,5.6,4.1,3.59,16.02,Revisar valor
799,70,5,2023-01-08,3774.06,6.5,3.12,3.45,19.98,
802,46,20,08/01/2023,2867.64,6.8,4.89,3.38,19.83,Digitado manual
803,85,6,2023-01-08,4896.06,7.2,3.48,2.88,15.66,
810,68,17,08/01/2023,4219.58,9.0,3.11,3.81,14.59,Revisar valor
812,64,13,08/01/2023,2952.06,8.5,4.94,2.83,14.14,
813,88,1,08/01/2023,674.26,7.8,3.63,3.21,15.49,Digitado manual
816,144,16,2023-01-08,3269.37,7.1,3.51,3.38,16.63,Digitado manual
818,80,3,08/01/2023,3539.05,7.7,4.66,2.97,16.12,
819,161,10,08/01/2023,2049.15,6.9,3.81,3.79,14.93,Digitado manual
827,121,10,2023-01-08,2370.14,4.6,5.19,2.97,18.09,
828,212,12,08/01/2023,232.52,6.7,3.18,3.3,15.17,Revisar valor
835,25,6,08/01/2023,4688.16,6.7,3.25,2.99,16.02,
836,228,15,08/01/2023,3360.74,9.6,3.16,2.97,16.94,Digitado manual
839,138,16,08/01/2023,2140.34,2.2,4.4,3.17,18.62,
846,195,2,2023-01-08,250.06,7.6,4.66,3.57,19.41,Revisar valor
848,187,7,08/01/2023,2095.55,9.6,4.24,3.99,14.66,Revisar valor
849,136,3,08/01/2023,4198.85,3.9,4.1,,19.6,Digitado manual
850,230,11,08/01/2023,1107.05,,3.38,3.1,16.77,Revisar valor
852,203,6,2023-01-08,3087.97,3.1,3.14,3.29,17.71,Digitado manual
853,157,5,08/01/2023,4677.44,9.2,,2.87,17.4,Revisar valor
862,214,16,2023-01-08,1379.35,4.5,4.53,3.85,18.72,
867,107,1,08/01/2023,3007.48,9.8,4.42,3.99,14.41,Revisar valor
869,59,16,08/01/2023,1902.62,2.1,4.04,3.82,15.68,Revisar valor
872,178,9,2023-01-08,2064.31,7.6,5.01,3.74,16.05,Digitado manual
873,95,16,2023-01-08,3651.76,4.3,4.12,3.77,19.17,Revisar valor
876,86,3,08/01/2023,469.6,3.5,3.23,3.62,18.3,
883,145,12,2023-01-08,3018.7,5.3,3.81,3.93,19.21,
885,98,6,2023-01-08,3998.6,3.2,,3.37,15.19,Digitado manual
888,8,10,2023-01-08,3231.24,7.5,3.3,3.14,18.84,Revisar valor
890,182,9,08/01/2023,4528.83,6.4,3.83,2.95,17.8,
891,155,8,2023-01-08,1298.85,8.5,4.41,3.18,16.3,
896,36,15,08/01/2023,3859.39,8.2,4.12,2.99,15.88,Digitado manual
916,119,7,2023-01-09,3263.59,,3.3,3.73,15.52,Digitado manual
921,146,1,2023-01-09,1239.47,7.5,,3.41,15.09,Digitado manual
923,241,4,09/01/2023,1593.38,7.5,3.19,3.1,18.47,Revisar valor
928,7,6,09/01/2023,520.73,6.7,3.1,3.16,16.34,Revisar valor
931,226,16,2023-01-09,897.93,6.1,4.42,3.7,16.17,
932,213,14,2023-01-09,1459.85,2.3,3.99,3.67,16.7,Digitado manual
934,86,1,09/01/2023,3910.88,5.3,4.76,,15.66,Digitado manual
935,53,11,09/01/2023,3320.8,4.4,3.82,3.94,16.32,
939,215,18,09/01/2023,1111.84,6.4,4.16,2.94,15.75,Digitado manual
940,84,11,2023-01-09,3071.03,3.5,4.24,3.38,17.41,Digitado manual
943,155,4,2023-01-09,1703.08,4.9,3.14,3.13,15.61,Digitado manual
947,123,6,2023-01-09,1260.67,9.1,,3.61,19.17,Revisar valor
948,144,3,2023-01-09,2341.59,5.3,3.38,3.82,14.14,Revisar valor
952,64,3,2023-01-09,3676.06,5.5,3.67,3.11,15.31,Digitado manual
955,28,2,2023-01-09,1312.72,6.6,5.18,3.69,16.82,
958,159,2,2023-01-09,472.88,5.8,3.6,3.24,16.77,Digitado manual
971,221,6,2023-01-09,3977.66,9.4,3.2,3.88,19.88,Digitado manual
974,109,19,09/01/2023,4958.3,4.4,3.27,3.07,19.28,
981,77,9,09/01/2023,4156.12,6.7,4.32,3.14,17.64,Revisar valor
984,189,4,2023-01-09,376.63,3.2,3.32,3.14,15.92,
988,217,2,09/01/2023,4402.5,9.1,4.51,3.89,16.51,Digitado manual
991,122,10,09/01/2023,4827.88,6.3,3.11,3.29,18.75,Digitado manual
993,222,13,09/01/2023,3408.47,4.1,3.1,3.34,16.58,
1000,70,1,2023-01-09,1108.64,9.3,5.42,3.99,16.05,Revisar valor
1001,240,12,09/01/2023,3509.74,2.2,4.98,3.77,16.41,Revisar valor
1004,205,11,09/01/2023,-3798.72,8.9,5.11,3.47,14.81,Revisar valor
1007,181,14,09/01/2023,2591.78,2.2,3.82,3.84,17.62,Revisar valor
1015,120,4,09/01/2023,-3105.23,5.2,3.63,3.02,14.72,
1017,160,1,2023-01-09,3642.74,5.3,4.12,3.58,16.21,Digitado manual
1020,204,5,09/01/2023,2184.34,4.3,4.92,3.72,16.73,
1021,175,9,09/01/2023,1276.72,8.7,3.67,3.33,18.69,
1023,148,1,2023-01-09,4037.41,2.5,3.27,3.1,19.75,
1027,50,6,2023-01-10,4485.92,3.7,3.27,3.78,17.12,
1028,48,19,10/01/2023,3450.28,9.2,5.46,2.99,17.2,Digitado manual
1030,188,15,10/01/2023,1618.56,9.4,3.29,3.88,18.2,
1031,79,19,2023-01-10,743.19,7.7,3.13,3.85,,
1032,185,3,2023-01-10,4319.86,3.9,3.85,3.11,14.82,Revisar valor
1035,65,3,10/01/2023,4341.85,4.6,5.02,2.9,19.72,Revisar valor
1038,70,10,10/01/2023,567.7,6.0,3.79,3.41,,Revisar valor
1039,151,13,10/01/2023,3377.78,4.8,3.9,3.44,17.38,
1040,52,8,2023-01-10,916.51,9.9,3.12,3.0,18.38,Revisar valor
1041,161,14,10/01/2023,389.0,3.7,5.14,3.54,14.1,Revisar valor
1042,103,17,10/01/2023,3253.98,3.5,,2.95,19.01,
1044,216,7,2023-01-10,1130.51,6.2,3.67,2.88,17.71,Revisar valor
1045,155,10,2023-01-10,1020.18,5.3,3.61,3.66,18.35,Digitado manual
1046,145,9,2023-01-10,1226.6,2.7,5.06,3.98,16.13,
1047,224,2,2023-01-10,3836.76,3.5,4.8,3.45,15.15,Revisar valor
1049,25,12,2023-01-10,3905.78,3.9,4.3,3.13,14.81,Revisar valor
1051,121,9,2023-01-10,1904.3,6.7,3.31,3.77,14.54,Revisar valor
1055,84,11,2023-01-10,4091.3,8.2,3.32,3.91,16.26,Digitado manual
1057,87,2,2023-01-10,3126.76,2.6,5.02,3.57,14.65,Revisar valor
1061,62,4,2023-01-10,422.52,8.0,5.12,3.93,14.33,
1075,106,19,2023-01-10,4275.06,8.1,3.37,2.91,17.44,Digitado manual
1081,19,17,2023-01-10,2157.4,3.6,4.11,2.97,15.32,Revisar valor
1084,141,3,2023-01-10,2914.02,8.2,3.99,3.44,15.17,Digitado manual
1090,56,6,10/01/2023,4592.82,7.1,5.24,3.79,15.16,
1096,231,19,10/01/2023,703.52,3.2,4.63,2.89,15.96,Digitado manual
1102,116,15,10/01/2023,3653.16,6.0,3.96,3.55,17.03,
1103,54,11,2023-01-10,938.79,6.1,,3.57,17.15,Digitado manual
1106,61,19,2023-01-10,4684.31,5.2,5.07,3.02,19.71,
1111,154,9,10/01/2023,2541.29,3.8,4.57,3.61,17.46,
1116,71,2,2023-01-10,3040.33,6.8,,3.23,17.09,Revisar valor
1121,180,8,2023-01-10,1988.02,2.6,4.61,3.99,15.96,
1123,85,19,2023-01-10,2719.0,7.0,3.36,3.63,16.54,Digitado manual
1128,171,12,10/01/2023,2504.38,6.5,3.34,,14.85,
1132,212,3,2023-01-10,1769.38,7.1,4.38,3.0,18.21,
1136,178,4,2023-01-10,2729.6,3.7,5.04,3.94,17.11,Revisar valor
1146,198,7,2023-01-10,1227.63,5.5,4.34,3.35,18.87,Digitado manual
1148,35,4,2023-01-11,1381.27,3.1,,2.85,14.71,Digitado manual
1149,39,14,2023-01-11,788.66,6.4,4.0,2.91,17.1,
1152,97,13,11/01/2023,2561.76,3.4,3.06,3.02,17.17,Revisar valor
