collection_id,farm_id,route_id,collection_date,collected_liters,temperature_c,fat_pct,protein_pct,acidity
87,184,1,01-02-2023,"2479,31","2,9","3,6","3,9","14,24"
93,163,4,01-02-2023,"548,43","4,3","4,52","3,91",
94,215,13,01-02-2023,"950,35","8,4","3,74","3,16","19,79"
95,173,1,01-02-2023,"3310,11","6,4",,"3,52","19,68"
98,198,11,01-02-2023,"3682,83","4,9","3,59","2,88","16,92"
99,116,5,01-02-2023,"3365,23","6,5","3,79","2,81","15,33"
104,35,5,01-02-2023,"3483,98","5,6","5,37","3,96","16,9"
106,2,4,01-02-2023,"391,54","7,6","5,07","3,12","15,04"
109,13,11,01-02-2023,"3373,33","7,8","4,2","2,99",
114,124,5,01-02-2023,"3811,44","9,2","3,0","3,61","16,52"
123,27,9,01-02-2023,"201,38","8,2","3,99","3,42","14,41"
124,100,19,01-02-2023,"1565,57","4,8","3,69","3,03","17,45"
127,156,8,01-02-2023,"524,26","7,4","3,79",,"18,99"
129,224,7,01-02-2023,"4567,65","3,9","3,66","3,8","16,14"
130,99,16,01-02-2023,"775,42","6,9",,"3,38","16,95"
132,211,12,01-02-2023,"4710,34","5,1","3,44","3,64",
134,64,12,01-02-2023,"2234,93","4,9","4,13","3,98","18,89"
139,228,10,01-02-2023,"4470,24","5,7","5,17","3,91","17,67"
142,106,3,01-02-2023,"1001,17","9,5","3,13","3,43","14,62"
143,155,13,01-02-2023,"604,69","4,5","3,71","2,96","14,17"
144,180,16,01-02-2023,"4329,77","5,7","5,34","2,96","17,24"
147,183,14,01-02-2023,"-2489,92","8,4","4,99","3,03","16,62"
151,162,14,01-02-2023,"270,68","4,5","5,49","3,75","19,06"
152,245,3,01-02-2023,"468,98","6,3","5,24",,"19,85"
156,75,12,01-02-2023,"2481,3","8,2","4,25","3,21","18,56"
157,89,18,01-02-2023,"1906,48","8,3","3,58","3,75","18,83"
158,34,12,01-02-2023,"1126,23","7,8","3,1","3,47","16,94"
162,139,6,01-02-2023,"410,13","9,0","4,21","3,49","17,95"
165,30,4,01-02-2023,"1236,32","7,8","3,47","3,1","15,07"
166,91,19,01-02-2023,"2192,89","4,9","4,66","3,0","16,41"
168,123,18,01-02-2023,"1752,56","3,7","5,32","3,95","16,38"
173,74,4,01-02-2023,"4122,28","9,0","4,63","2,81","16,29"
174,109,5,01-02-2023,"397,67","4,6","3,38","4,0","18,52"
185,42,1,01-02-2023,"4417,65","9,6","3,56","3,27","18,38"
186,242,8,01-02-2023,"3454,38","5,3","4,07","3,53","14,79"
187,65,7,01-02-2023,"2988,95","8,9","4,76","2,96","19,85"
188,157,11,01-02-2023,"4678,54","2,5","4,8","3,81","14,18"
189,16,10,01-02-2023,"4869,9","5,5","5,24","3,13","14,64"
192,9,7,01-02-2023,"4760,95","8,1","5,32","3,84","15,95"
195,204,2,01-02-2023,"2677,41","3,5","5,21","3,14","15,77"
196,58,15,01-02-2023,"3511,77","8,6","4,81","3,73","18,18"
198,61,3,01-02-2023,"987,17","2,9","3,91","3,26","17,07"
204,241,19,01-02-2023,"1051,61",,"4,92","3,88","18,55"
206,232,16,01-02-2023,"3219,1","7,8","4,97","3,31","15,56"
210,192,6,01-02-2023,"3156,77","3,6","5,31",,"14,81"
213,148,6,01-03-2023,"3421,4",,"4,56","3,05","15,91"
215,85,13,01-03-2023,"2041,28","3,4","4,48","3,64","15,87"
218,228,11,01-03-2023,"1785,57",,"4,19","3,35","18,61"
219,204,4,01-03-2023,"811,49","4,6","4,98","3,28","17,73"
223,72,5,01-03-2023,"-3253,44","7,3","3,73","3,34","19,26"
224,216,14,01-03-2023,"4012,86","7,7","5,48","3,53","19,09"
225,8,2,01-03-2023,"499,57","2,0","5,45",,"16,59"
227,97,5,01-03-2023,"940,48","3,1","3,04","3,38","19,94"
231,43,20,01-03-2023,"2681,36","2,7","4,85","2,89","18,79"
233,156,10,01-03-2023,"369,57","7,8","3,15","3,0","19,94"
237,30,12,01-03-2023,"1212,11","2,4","5,05","3,36","16,86"
238,201,13,01-03-2023,"4627,8","5,8",,"3,91","18,07"
239,193,18,01-03-2023,"3477,81","7,1","4,08","3,83","15,6"
242,81,7,01-03-2023,"3051,87","9,6","4,77","3,83","17,94"
243,182,4,01-03-2023,"2917,13","7,6","4,17","3,57","15,66"
244,9,11,01-03-2023,"4536,28","4,1","3,69","3,27","15,55"
248,128,1,01-03-2023,"3969,83","5,1","4,95","3,44","16,0"
249,61,3,01-03-2023,"464,93","4,9","3,85","3,71","15,22"
251,116,19,01-03-2023,"1126,85","3,9","4,98","3,4","18,87"
253,56,3,01-03-2023,"914,98","2,3","4,63",,"18,21"
254,135,10,01-03-2023,"1026,8","8,6","4,53","2,88","14,69"
257,29,4,01-03-2023,"4643,24","8,3","3,94","3,86","14,04"
258,207,10,01-03-2023,"3592,36","5,3","4,93","3,05","17,14"
264,7,19,01-03-2023,"4478,55","5,9","3,36","3,35","14,82"
266,129,6,01-03-2023,"1255,3","8,3","4,53","3,96","14,52"
267,40,19,01-03-2023,"2548,22","5,8","3,04","3,85","16,61"
269,88,4,01-03-2023,"4086,64","5,6",,"3,68","14,8"
270,192,16,01-03-2023,"3308,67","7,4","4,15","3,5","16,78"
272,80,20,01-03-2023,"3813,86","6,3","4,97","3,86","14,33"
274,37,18,01-03-2023,"864,35","2,9","5,35","3,95","18,47"
276,133,20,01-03-2023,"2757,71","4,9","4,73","3,86","19,3"
279,53,19,01-03-2023,"2694,18","4,7","3,82","3,64","16,67"
281,118,18,01-03-2023,"3169,43","4,3","5,1","3,6",
282,223,9,01-03-2023,"1719,8","5,0","4,77","3,97","16,69"
284,220,16,01-03-2023,"1790,15","9,2","4,89","3,6","18,37"
286,185,19,01-03-2023,"464,16","6,2","4,92","2,9","18,06"
293,27,9,01-03-2023,"1374,8","5,9","4,5","3,38","15,55"
296,188,20,01-04-2023,"3821,84","3,6","3,46","2,91","19,65"
299,217,12,01-04-2023,"3432,92","9,9","4,29","3,71","16,8"
303,15,7,01-04-2023,"4893,7","4,7","5,48","3,81","15,67"
306,119,3,01-04-2023,"1653,21","7,3","4,23","3,15","17,03"
307,225,1,01-04-2023,"4085,51",,"4,08","3,26","16,26"
312,14,11,01-04-2023,"1820,45","2,3","4,06",,
318,13,14,01-04-2023,"3149,23","9,5","3,15","3,35","18,48"
319,75,3,01-04-2023,"4251,79","7,1","3,67","2,99","15,42"
320,220,10,01-04-2023,"919,82","5,7","4,09","2,84","14,82"
323,20,19,01-04-2023,"779,08","9,6","3,63","3,09","18,84"
325,50,4,01-04-2023,"2760,66","4,5","4,71","3,86","16,18"
326,197,20,01-04-2023,"4142,55","2,3","5,0","3,9","15,52"
331,154,7,01-04-2023,"-3277,27","7,0","3,21","3,42","18,98"
334,140,6,01-04-2023,"4875,81","2,4","4,5","3,95",
335,83,15,01-04-2023,"2724,02","8,6","3,56","3,94","15,6"
339,226,2,01-04-2023,"4842,61","2,0","3,95","3,61",
341,179,9,01-04-2023,"813,78","8,0","3,71","3,54","15,58"
351,133,12,01-04-2023,"2230,74","6,9",,"3,21","15,35"
353,245,19,01-04-2023,"1393,54","2,4","3,11","3,31","17,97"
361,129,18,01-04-2023,"3737,98",,"4,0","3,67","19,43"
368,142,17,01-04-2023,"2873,71","6,8","3,13","3,76","18,53"
370,107,4,01-04-2023,"2319,29","3,2","5,05","3,04",
372,216,14,01-04-2023,"2224,27","5,3","4,15","3,75","14,18"
374,34,17,01-04-2023,"4532,05","9,8","5,21","3,85","15,88"
377,90,17,01-04-2023,"2795,79","6,4","4,89","2,83","17,56"
382,153,9,01-04-2023,"2690,94","6,7","5,49","3,94","16,5"
383,134,15,01-04-2023,"2627,77","3,0","5,16","3,06","18,48"
385,45,5,01-04-2023,"1611,11","3,1","3,12","3,87","18,91"
387,8,15,01-04-2023,"3857,37","8,1","3,37","2,91","17,74"
388,31,2,01-04-2023,"4521,17","9,7","4,84","3,84","17,43"
389,144,18,01-05-2023,"4929,48","9,6",,"3,78","17,72"
394,22,3,01-05-2023,"3859,83","6,3","5,04","2,95","16,26"
397,139,13,01-05-2023,"234,25","2,9","4,25","3,03","18,03"
398,148,3,01-05-2023,"1042,54","3,0","5,14","3,67",
401,146,13,01-05-2023,"2755,57","3,6",,"3,68","16,54"
407,5,1,01-05-2023,"3021,5","6,8","4,97","3,49","15,54"
408,31,8,01-05-2023,"3678,19",,"3,32","3,42","16,15"
414,202,6,01-05-2023,"342,49","3,8","3,44","3,1","15,06"
418,181,17,01-05-2023,"1544,35","9,7","3,52","3,36","14,39"
422,240,14,01-05-2023,"2245,29","4,9",,"3,33","14,46"
423,207,18,01-05-2023,"1613,69","7,1","5,32",,"15,2"
425,156,13,01-05-2023,"1552,86","9,6",,"3,58","19,71"
429,12,11,01-05-2023,"354,6","6,5","5,28","3,27","19,69"
433,112,16,01-05-2023,"1187,25","3,3","3,78","3,66","15,21"
434,223,20,01-05-2023,"2339,51","8,5","5,28","3,35","18,42"
436,7,4,01-05-2023,"3363,58","5,1","3,6","3,13","15,75"
437,136,7,01-05-2023,"3550,61","9,3","4,9","3,24","17,03"
438,82,7,01-05-2023,"2168,46","6,0","3,18","3,7","18,48"
442,30,4,01-05-2023,"2709,8","5,1",,"3,73","19,57"
443,26,14,01-05-2023,"1344,99",,"5,05","2,88","14,58"
444,237,2,01-05-2023,"3387,72","5,3","3,82","3,03","17,25"
450,23,20,01-05-2023,"1181,05","9,9","5,19","3,18","14,24"
451,40,1,01-05-2023,"2191,49","3,8","3,86","2,86","19,93"
452,79,13,01-05-2023,"3542,13","6,2","4,57","3,39","14,31"
454,174,8,01-05-2023,"1375,64","4,4","5,42","3,83","19,71"
460,198,1,01-05-2023,"365,64","7,6","3,65","3,62","17,61"
465,196,7,01-05-2023,"4752,72",,"3,46","3,11","16,45"
466,187,6,01-05-2023,"3197,22","2,6","3,31","2,84","16,91"
470,97,8,01-05-2023,"2747,02","4,9","4,65","3,3","19,92"
471,226,12,01-05-2023,"4100,57","9,0","4,84","3,08","18,44"
472,234,16,01-05-2023,"1872,0","9,9","5,26","3,15","14,86"
474,62,18,01-05-2023,"4784,25","3,9","4,88","2,91","18,29"
476,206,8,01-05-2023,"634,12","9,5","4,5","3,25","18,42"
482,192,8,01-05-2023,"1210,94",,"5,16","3,39","19,91"
485,225,16,01-05-2023,"985,73","4,3","3,55",,"18,36"
486,119,5,01-05-2023,"3455,93","5,0","4,7","2,87","16,84"
489,17,4,01-05-2023,"2336,57","2,7","4,67","2,83","17,44"
490,124,6,01-05-2023,"3777,72","5,1","4,76","2,95","18,28"
492,233,7,01-05-2023,"3328,16","9,7","3,45","3,02","18,8"
495,177,12,01-05-2023,"2708,8","6,8","4,72",,"14,85"
503,228,12,01-05-2023,"2924,29","7,7","4,52","3,02","18,79"
505,168,2,01-05-2023,"4735,36","2,7","5,32","2,81","18,06"
506,96,18,01-05-2023,"854,86","7,6","4,54","3,7","18,22"
507,70,17,01-05-2023,"1372,29",,"4,12","3,92","19,42"
511,91,13,01-06-2023,"1158,29","5,3","4,58","3,2","17,06"
519,87,15,01-06-2023,"2664,74","8,0","4,95","3,13","14,96"
520,174,17,01-06-2023,"3544,26","5,6","4,31","3,06","17,31"
522,213,12,01-06-2023,"1207,87","7,1","3,81","3,86","14,8"
525,197,13,01-06-2023,"3223,04","3,2","4,82","3,88","15,09"
526,220,16,01-06-2023,"4339,29","9,5","3,71","3,86","18,12"
530,124,4,01-06-2023,"3521,8",,"4,36","3,86","14,01"
532,68,10,01-06-2023,"728,65","4,9","3,3","3,9","17,63"
533,55,14,01-06-2023,"2746,31","3,2","3,75","3,22","19,5"
536,162,14,01-06-2023,"2234,39","6,8","3,35","3,91","17,3"
537,146,8,01-06-2023,"2564,49","5,1","4,05","3,63","18,22"
540,79,14,01-06-2023,"2011,81","5,0","4,66","3,8","14,18"
543,10,18,01-06-2023,"3463,54","7,7","4,43","3,07","15,63"
545,159,13,01-06-2023,"2491,6","8,6","5,01","3,03","14,47"
546,125,10,01-06-2023,"4263,72","3,3",,"3,89","15,21"
548,92,7,01-06-2023,"1555,53","4,5","3,89","3,61","19,38"
554,242,9,01-06-2023,"1438,13","8,1","5,31","3,97","16,18"
563,26,7,01-06-2023,"2892,36","2,6","4,54","3,98","18,46"
567,22,15,01-06-2023,"3556,72","5,3","5,07","3,97","19,56"
568,136,6,01-06-2023,"1990,98","6,3","5,11","3,32","17,72"
570,40,10,01-06-2023,"2616,14","8,8","4,94","2,94","19,7"
572,32,14,01-06-2023,"2190,64",,"4,98","3,42","15,9"
578,58,4,01-06-2023,"4927,03","5,7","3,27","3,87","16,97"
581,236,6,01-06-2023,"3147,22","6,2","3,3","3,44","18,57"
583,94,16,01-06-2023,"2847,19","5,5","5,31","3,04","18,3"
584,110,19,01-06-2023,"693,89","4,5","5,38","3,86","18,48"
587,69,4,01-06-2023,"1985,43","2,1","4,79","3,48","15,4"
588,198,7,01-06-2023,"1561,35","2,8","4,52","3,83","19,36"
593,192,2,01-06-2023,"3166,29","8,6","5,48","3,67","14,53"
599,49,5,01-06-2023,"1696,76","8,8","3,33","3,26","17,72"
601,11,1,01-06-2023,"4491,67","5,8","3,88","3,46","15,27"
606,9,6,01-06-2023,"1017,12","3,5",,"3,37","15,07"
613,188,20,01-06-2023,"2981,68","3,0","4,42","3,22","14,05"
614,239,17,01-06-2023,"906,23","9,7","4,66","3,15",
615,33,2,01-06-2023,"1558,48",,"3,88","2,86","19,27"
616,84,18,01-06-2023,"2609,57","3,2","3,68","3,04","14,48"
618,129,7,01-06-2023,"1747,9","4,0","3,5","3,16","16,77"
628,203,15,01-06-2023,"2239,2","3,0",,"3,58","16,67"
631,142,16,01-06-2023,"527,41","5,0","4,65","3,91","17,15"
633,234,8,01-06-2023,"3460,75","9,9","4,83","3,88","19,35"
634,237,19,01-07-2023,"2569,06","9,2",,"3,98","17,59"
637,157,5,01-07-2023,"2058,2","5,4","3,34","3,88","16,21"
640,10,4,01-07-2023,"3109,39","7,3","5,35","3,65","19,39"
647,156,10,01-07-2023,"2062,93","8,9","4,16","3,48","14,98"
648,162,5,01-07-2023,"3779,04","9,3","4,71","4,0","15,77"
651,45,3,01-07-2023,"4505,81","5,5","4,97","3,39","15,05"
658,164,17,01-07-2023,"3114,09","5,5","5,09","3,09","18,61"
660,143,14,01-07-2023,"2523,94","3,8","5,47","3,09","18,04"
661,52,11,01-07-2023,"3106,62","4,5","4,05","3,49","18,64"
663,241,17,01-07-2023,"1001,29","8,9","5,26","3,28","18,27"
664,126,19,01-07-2023,"4507,65","6,9","4,81","3,9","19,46"
669,218,9,01-07-2023,"4449,68","9,9","5,31","2,97","19,03"
671,42,15,01-07-2023,"2335,16","4,4","4,77","3,33","15,58"
672,112,4,01-07-2023,"4966,77","9,7","4,86","2,89","16,01"
673,136,3,01-07-2023,"3730,5","7,7","5,31","3,92","15,91"
675,50,16,01-07-2023,"2525,63","4,3","5,19","3,83","14,02"
679,231,16,01-07-2023,"3583,13","8,7","4,5","2,83","15,29"
682,53,1,01-07-2023,"820,23","8,4","4,76","3,72","17,93"
684,36,1,01-07-2023,"1393,78","8,0","4,25","2,85","14,15"
687,105,17,01-07-2023,"1698,51","7,9","4,15","3,96","16,26"
691,88,16,01-07-2023,"2919,87","4,0","3,84","3,19",
700,122,13,01-07-2023,"808,18","4,6","4,48","3,77","18,01"
702,91,16,01-07-2023,"2656,19","4,6","3,29","3,25","16,85"
705,144,7,01-07-2023,"3161,48","5,1",,"3,33","14,03"
707,18,19,01-07-2023,"1516,03","8,6","5,32","3,56","16,84"
709,110,2,01-07-2023,"773,25","4,5","3,69","3,59","16,0"
711,223,17,01-07-2023,"511,78","3,2",,"3,53","16,46"
715,33,7,01-07-2023,"4209,32","3,4","4,74","3,39","16,09"
716,133,6,01-07-2023,"2358,43","2,3","3,96","3,05","16,08"
719,31,14,01-07-2023,"-4372,78","5,8","5,26","3,23","17,28"
722,14,20,01-07-2023,"2658,58","9,7","3,5","3,7","16,0"
728,75,6,01-07-2023,"2289,92","5,4","3,97","2,84","16,53"
730,100,1,01-07-2023,"2633,46","5,9","4,0","3,16","17,8"
731,176,12,01-07-2023,"4051,61","8,2","5,11","2,93","16,54"
733,41,16,01-07-2023,"1552,23",,"4,5","3,31",
741,103,15,01-07-2023,"3695,19","6,7","3,82",,"16,04"
747,234,13,01-07-2023,"1725,32","3,8","4,89","3,91","19,24"
748,87,15,01-07-2023,"216,02","7,2","3,25","3,3",
750,67,20,01-07-2023,"636,64","9,1","4,38","3,82","16,21"
754,98,18,01-07-2023,"3927,66","7,7","5,07","3,77",
758,71,10,01-07-2023,"4424,82","4,5","4,42","3,66","14,93"
762,168,4,01-07-2023,"3121,48","7,2","4,15","3,89","19,07"
764,171,2,01-07-2023,"2781,1","5,6","3,61","3,02","19,15"
765,124,20,01-07-2023,"3643,43","4,1","4,86","3,9","14,8"
766,160,19,01-07-2023,"1197,11","5,8","5,2","3,75","16,87"
769,139,4,01-08-2023,"3112,18","2,4","4,34","3,14","19,29"
770,151,5,01-08-2023,"4890,46","9,0","4,44","3,33","17,28"
771,56,1,01-08-2023,"2872,04","3,1","5,18","3,69","16,17"
772,154,11,01-08-2023,"3786,91","5,7","3,83","3,64",
774,77,11,01-08-2023,"4806,98","8,3","4,44","3,68","19,85"
778,111,7,01-08-2023,"2755,35","8,2","3,89","3,84","18,64"
780,232,9,01-08-2023,"1168,17","3,9",,"3,85","14,74"
783,227,16,01-08-2023,"635,8","4,0",,"3,76","19,14"
784,114,14,01-08-2023,"4739,51","9,6","3,57","3,58",
789,207,3,01-08-2023,"271,7","5,4","5,42","3,3","16,64"
793,117,14,01-08-2023,"3847,49","5,0","4,84","3,7","17,79"
804,130,5,01-08-2023,"792,66","3,6","3,69","3,56","17,15"
805,124,15,01-08-2023,"3072,54","4,4","4,86","2,88","19,46"
807,73,3,01-08-2023,"1597,31","10,0","4,5","3,84","19,02"
808,166,9,01-08-2023,"2224,04","8,7","5,26","3,19","15,51"
809,238,16,01-08-2023,"262,05","3,9","4,48","2,92","18,25"
811,137,19,01-08-2023,"4840,3","7,4","4,05","3,69","18,73"
820,113,8,01-08-2023,"326,52","4,0","4,62","2,81","14,12"
822,47,12,01-08-2023,"1455,16","8,4","3,93","3,92","16,14"
823,239,8,01-08-2023,"845,57","8,4","3,24","3,98","17,21"
830,210,16,01-08-2023,"4063,59","3,1","3,24","3,65","17,0"
831,17,3,01-08-2023,"2126,85","4,7",,"3,53","14,35"
832,234,17,01-08-2023,"1008,86","2,1","3,77","3,48","14,42"
833,173,18,01-08-2023,"3255,11","3,7","5,18","3,52","19,35"
834,78,5,01-08-2023,"4422,43","8,5","4,56","3,87","14,72"
837,199,16,01-08-2023,"399,63","8,5","4,77","2,92","17,98"
840,190,2,01-08-2023,"3554,73","3,5","5,23","3,49",
842,28,7,01-08-2023,"1979,95","2,8","5,23","2,89","15,24"
844,55,13,01-08-2023,"2071,6","2,4","3,62","3,86","17,42"
845,79,9,01-08-2023,"3205,71",,"5,06","3,81","18,68"
847,167,9,01-08-2023,"1080,12","9,6","4,74","3,14","15,57"
851,27,10,01-08-2023,"470,86","6,0","4,57",,"16,64"
855,147,20,01-08-2023,"3790,73","4,0","4,59","3,88","19,28"
859,171,14,01-08-2023,"1944,39","5,0","3,98","3,45","19,43"
860,102,7,01-08-2023,"4376,53","3,7","3,39","3,42","16,66"
861,44,9,01-08-2023,"2052,66","9,9","4,92","3,49","14,9"
865,133,6,01-08-2023,"2755,06","6,5","4,75","3,82","14,68"
868,69,5,01-08-2023,"1640,5","2,9","5,4","3,56","18,76"
874,38,4,01-08-2023,"310,44","3,9","3,16","3,08","14,45"
877,91,7,01-08-2023,"3202,17","7,7","4,77","3,68","19,17"
879,116,13,01-08-2023,"3830,17","7,1","4,5","3,14","18,95"
880,201,9,01-08-2023,"2746,64","4,3","3,15","3,88","18,53"
882,101,11,01-08-2023,"516,22","5,6","4,2","3,72","19,99"
886,141,18,01-08-2023,"959,92","4,2","4,52","3,32","16,92"
887,52,11,01-08-2023,"1896,17","7,6","3,35","3,39","16,94"
889,53,3,01-08-2023,"1973,92","2,1","3,62","3,63","19,42"
892,104,15,01-08-2023,"1743,94","6,8","5,4","3,34","18,75"
893,18,2,01-08-2023,"886,8","5,8","3,01","3,54","18,7"
894,143,18,01-08-2023,"2526,55","3,6","3,47","3,53","14,36"
895,99,8,01-08-2023,"2712,81","8,3",,"3,11","14,15"
897,236,20,01-08-2023,"2388,53","5,6","3,32","2,95","17,32"
898,215,18,01-08-2023,"1713,29","2,2","3,81","3,54","17,86"
900,244,12,01-08-2023,"1328,07","4,7","4,88","3,45","17,85"
904,33,19,01-08-2023,"234,33","9,1","5,07",,"17,77"
907,214,9,01-09-2023,"4049,32","9,7","4,72",,"17,38"
909,173,18,01-09-2023,"4528,74","3,2","3,87","3,28","16,08"
912,152,7,01-09-2023,"4285,27","8,6","5,06","3,99","17,12"
913,210,6,01-09-2023,"1422,64","7,9","4,97","3,19","16,24"
914,78,8,01-09-2023,"2710,98","6,6","4,72","3,07","14,93"
919,161,16,01-09-2023,"3018,2","10,0","5,41","2,9","14,55"
920,59,4,01-09-2023,"4187,02","5,6","3,6","2,84","18,66"
925,65,20,01-09-2023,"687,38","6,5","3,92","2,82","18,16"
927,131,5,01-09-2023,"1367,51","3,0","4,43","3,34","16,24"
930,4,16,01-09-2023,"1105,6","3,7","4,38","3,83","18,0"
936,128,20,01-09-2023,"3504,57","6,8","3,34","3,63","17,2"
941,118,9,01-09-2023,"902,43","3,0","4,38","2,88","15,53"
945,43,9,01-09-2023,"1258,1","9,4",,"3,5","15,03"
946,126,1,01-09-2023,"2039,71","9,6","4,85","3,12","14,57"
949,153,14,01-09-2023,"1184,62","8,3","3,81","3,54","17,64"
957,8,18,01-09-2023,"1970,87","9,5","3,02","3,72","14,12"
959,13,6,01-09-2023,"3609,0","7,1","3,17","2,8","18,79"
961,71,6,01-09-2023,"1406,86","6,0","5,01","3,52","15,79"
966,231,4,01-09-2023,"4625,53","3,2",,"3,06","14,14"
967,41,20,01-09-2023,"4032,85","4,6","5,0","3,86","16,6"
968,25,19,01-09-2023,"3398,34","6,0","3,38","3,2","18,39"
972,234,18,01-09-2023,"4787,21","6,4","4,86","3,19","18,09"
975,96,18,01-09-2023,"4544,84","6,0","4,0","3,16","17,74"
982,9,4,01-09-2023,"3288,63","6,0","3,71","3,21","16,84"
983,31,13,01-09-2023,"4768,18","5,3","4,99","3,6","16,77"
987,117,11,01-09-2023,"3777,35","9,7","5,17","3,84","15,5"
989,169,20,01-09-2023,"3231,38",,"4,21","3,4","16,0"
992,45,20,01-09-2023,"4415,52","6,6","5,09","3,12","19,11"
995,23,18,01-09-2023,"2583,85","7,3","3,29","3,99","15,97"
996,61,3,01-09-2023,"1161,23","4,6","4,2","3,92","15,01"
999,143,18,01-09-2023,"2602,22","5,7","4,67","2,9","16,12"
1006,40,5,01-09-2023,"711,56","7,6","5,5","3,82","19,85"
1011,162,13,01-09-2023,"404,12","6,3","4,48","3,75","15,01"
1014,111,13,01-09-2023,"2733,35","9,8","4,45","3,54","18,24"
1016,106,8,01-09-2023,"835,75","8,0","4,71","3,06","17,45"
1018,194,9,01-09-2023,"2017,88","5,5","4,59","3,22","19,15"
1022,73,18,01-09-2023,"2045,99","6,1","3,27","3,43","15,63"
1025,1,10,01-10-2023,"4170,93","5,7","3,56","2,94","15,22"
1026,124,14,01-10-2023,"4424,8","3,2","5,25","2,81","17,2"
1029,28,20,01-10-2023,"4777,37","8,7","3,79","3,91","19,01"
1034,109,15,01-10-2023,"584,75","3,3",,"3,72","18,65"
1036,179,12,01-10-2023,"3961,52","2,5",,"2,98","16,27"
1043,172,1,01-10-2023,"2867,81","4,1","5,41","3,46","19,28"
1050,98,11,01-10-2023,"3546,51","2,3","3,14","3,09","15,25"
1056,12,10,01-10-2023,"3573,63","8,6","5,4","3,9","18,08"
1066,111,4,01-10-2023,"3296,65","2,4","4,13",,"16,21"
1068,5,14,01-10-2023,"2949,38","8,1","3,94","3,16","17,63"
1069,177,15,01-10-2023,"3702,84","2,7","3,36","3,5","17,41"
1070,20,17,01-10-2023,"2913,63","9,1","4,98","3,94","14,65"
1072,223,15,01-10-2023,"944,0","8,1","3,08","3,7","19,66"
1076,214,7,01-10-2023,"3225,69","2,1","4,06","3,62","15,14"
1080,208,3,01-10-2023,"4301,36",,"4,62","3,56",
1086,184,6,01-10-2023,"1183,6","7,4","3,41","3,06","18,95"
1087,35,18,01-10-2023,"1725,23","6,6","3,3","2,89","15,78"
1088,57,19,01-10-2023,"436,08","4,6","3,99","3,97","15,65"
1093,10,19,01-10-2023,"310,01","6,4","4,01","2,94","14,37"
1095,3,11,01-10-2023,"1066,16","7,4","3,98","3,24","17,23"
1100,165,17,01-10-2023,"1864,54","5,7","5,28","3,33","15,07"
1104,24,8,01-10-2023,"1093,94","4,9","5,21","3,84","16,34"
1105,88,2,01-10-2023,"1793,01","2,2","3,7","3,73","16,25"
1107,157,13,01-10-2023,"3748,93","8,6","5,35","3,88","14,62"
1108,227,11,01-10-2023,"1451,5","3,5","4,81","3,01","16,33"
1110,235,12,01-10-2023,"2887,68","2,2","4,3","3,94","14,09"
1112,138,16,01-10-2023,"743,35","3,3","5,08","3,08","14,52"
1113,209,10,01-10-2023,"2093,75","5,6","3,82","3,67","19,32"
1117,139,5,01-10-2023,"3881,53","9,5","5,28","3,3","19,18"
1118,43,18,01-10-2023,"2194,46","5,5","3,42","3,21","18,44"
1120,126,3,01-10-2023,"3149,04","8,5","3,83","3,82","14,26"
1122,191,16,01-10-2023,"1200,05","2,3","4,58","3,02","15,82"
