id_coleta,id_fazenda,id_rota,data_coleta,volume_litros,temperatura_c,gordura_pct,proteina_pct,acidez
201,159,19,2023-01-03,1650.17,7.0,5.43,3.21,17.55
202,70,18,2023-01-03,2289.7,3.4,4.85,3.8,17.58
203,14,10,2023-01-03,668.74,2.6,5.04,3.25,17.96
204,120,1,2023-01-03,4121.76,7.3,3.73,3.34,19.26
205,168,14,2023-01-03,4012.86,9.3,4.46,3.41,19.12
206,3,1,2023-01-03,4525.16,8.6,5.15,3.08,16.37
207,18,18,2023-01-03,2037.39,3.4,4.39,3.23,15.73
208,100,1,2023-01-03,802.64,9.1,5.44,2.96,19.16
209,223,20,2023-01-03,3537.87,6.1,4.13,3.02,17.47
210,212,14,2023-01-03,1336.4,,3.09,3.24,19.77
211,205,9,2023-01-03,3704.89,2.6,3.22,3.69,14.47
212,169,2,2023-01-03,4030.87,,4.14,3.49,16.12
213,93,20,2023-01-03,1614.17,7.8,3.15,3.0,19.94
214,28,3,2023-01-03,3196.72,2.6,3.63,3.13,18.45
215,226,15,2023-01-03,4568.63,3.4,3.59,,19.9
216,75,16,2023-01-03,3058.61,5.3,4.65,3.0,
217,167,2,2023-01-03,1469.1,5.2,4.87,3.44,18.23
218,99,1,2023-01-03,896.72,8.4,3.79,3.95,17.19
219,60,9,2023-01-03,4252.35,4.1,4.64,3.73,18.41
220,98,6,2023-01-03,1135.64,,3.17,3.43,16.11
221,131,20,2023-01-03,1409.1,9.5,5.09,3.57,14.72
222,182,19,2023-01-03,823.55,3.5,3.46,3.59,16.72
223,26,11,2023-01-03,3892.92,8.2,3.16,4.0,18.88
224,81,7,2023-01-03,533.11,3.4,3.36,3.06,19.48
225,125,19,2023-01-03,695.78,,4.24,,16.34
226,153,1,2023-01-03,1783.19,9.5,4.09,3.74,
227,137,16,2023-01-03,4779.95,6.3,3.83,2.87,17.88
228,23,15,2023-01-03,4296.04,4.3,4.39,3.59,16.34
229,48,15,2023-01-03,3506.44,3.1,4.8,3.39,17.24
230,51,15,2023-01-03,2762.91,2.1,3.84,3.29,17.92
231,129,18,2023-01-03,4712.43,6.6,3.09,3.58,
232,118,6,2023-01-03,3566.22,9.2,3.24,3.8,18.9
233,144,3,2023-01-03,3055.89,5.4,5.46,3.19,17.46
234,245,2,2023-01-03,4214.85,4.7,3.35,3.64,16.63
235,11,20,2023-01-03,395.35,3.3,,3.91,17.56
236,64,16,2023-01-03,3528.82,3.6,4.31,3.93,14.23
237,136,10,2023-01-03,2599.46,2.0,3.29,2.91,18.57
238,79,7,2023-01-03,1252.53,3.5,4.71,3.37,
239,86,14,2023-01-03,3295.33,6.9,4.13,2.86,
240,126,8,2023-01-03,2671.54,6.7,3.5,3.19,15.96
241,101,13,2023-01-03,3741.19,2.6,3.14,3.06,15.07
242,41,12,2023-01-03,2397.15,3.6,4.73,2.96,16.75
243,199,20,2023-01-03,1849.16,8.4,5.26,3.46,16.47
244,89,16,2023-01-03,4338.56,4.2,4.84,3.19,19.35
245,91,1,2023-01-03,915.05,2.4,4.83,3.31,18.86
246,202,3,2023-01-03,670.4,2.1,5.37,3.15,14.54
247,161,19,2023-01-03,1663.22,2.2,4.93,3.29,16.22
248,78,3,2023-01-03,3240.33,7.5,3.74,3.64,17.45
249,61,11,2023-01-03,3486.39,2.4,4.69,2.93,17.71
250,183,3,2023-01-03,1041.28,8.2,3.84,3.58,18.51
251,71,8,2023-01-03,3573.65,9.2,4.06,3.25,17.01
252,218,18,2023-01-03,2456.79,5.6,4.68,3.97,15.13
253,197,6,2023-01-03,619.08,9.7,3.69,3.4,17.12
254,220,18,2023-01-03,1607.21,5.8,,,18.81
255,206,19,2023-01-03,2694.18,7.2,4.48,3.81,15.82
256,8,9,2023-01-03,3988.87,5.0,5.11,3.14,17.71
257,143,6,2023-01-03,2769.52,7.5,3.38,2.85,14.76
258,72,2,2023-01-03,1085.58,9.8,4.12,3.44,14.15
259,58,11,2023-01-03,3888.89,9.8,4.27,3.15,19.82
260,39,19,2023-01-03,4971.52,9.4,3.28,2.85,
261,88,12,2023-01-03,3164.11,2.4,4.46,3.92,14.14
262,173,3,2023-01-03,2338.2,5.2,4.51,2.87,16.39
263,36,1,2023-01-03,2252.67,4.8,5.19,3.67,19.96
264,186,14,2023-01-03,1585.44,5.3,4.49,3.16,17.15
265,194,13,2023-01-03,4679.13,5.3,4.04,3.65,14.82
266,237,2,2023-01-03,2032.49,4.4,4.24,3.07,14.92
267,59,4,2023-01-03,3274.67,9.1,4.23,3.09,15.66
268,107,19,2023-01-03,520.28,5.5,4.71,3.78,
269,62,5,2023-01-03,1445.78,9.0,3.41,3.3,16.14
270,40,17,2023-01-03,2742.14,7.0,4.5,3.19,19.07
271,110,12,2023-01-03,1503.0,6.6,3.03,3.25,16.04
272,80,8,2023-01-03,691.61,8.4,4.72,3.82,18.21
273,244,4,2023-01-03,2203.26,9.4,3.78,3.78,17.59
274,115,1,2023-01-03,1841.82,2.9,4.74,3.17,19.89
275,139,1,2023-01-03,3862.51,,3.27,3.42,14.71
276,34,4,2023-01-03,517.99,9.4,5.25,3.22,19.08
277,239,6,2023-01-03,4754.2,8.2,4.26,3.78,17.17
278,151,18,03/01/2023,4828.47,7.8,5.3,3.37,15.11
279,216,13,2023-01-03,715.16,6.1,4.9,3.36,16.97
280,177,3,2023-01-03,1583.7,2.9,4.5,3.97,17.32
281,142,3,2023-01-03,4305.76,8.4,,3.61,16.38
282,35,13,2023-01-03,3447.29,6.7,5.31,2.88,16.03
283,111,14,2023-01-03,4955.17,4.2,4.45,3.75,16.4
284,38,16,2023-01-03,3095.19,3.2,3.31,3.08,14.18
285,227,1,2023-01-03,4185.5,5.1,3.38,2.92,18.51
286,82,16,2023-01-03,4005.11,4.1,5.15,,16.58
287,9,13,2023-01-03,2041.42,2.3,4.65,3.86,16.58
288,156,19,2023-01-03,2067.59,7.3,4.43,3.83,16.35
289,69,12,2023-01-03,4860.18,4.3,4.48,3.24,17.5
290,122,14,2023-01-03,3200.73,4.9,4.65,3.58,19.46
291,201,1,2023-01-03,1663.58,2.3,4.06,,
292,162,11,2023-01-03,1719.27,8.5,4.69,3.4,16.04
293,24,16,2023-01-03,1944.0,9.8,5.13,3.12,17.44
294,164,19,2023-01-03,3197.95,4.7,5.0,3.05,17.91
295,108,18,2023-01-03,4059.81,5.3,4.29,3.46,17.77
296,113,15,2023-01-03,1095.39,7.1,5.13,3.92,14.36
297,19,10,2023-01-03,2419.94,5.3,5.28,3.82,15.72
298,94,8,2023-01-03,3496.9,3.5,5.07,3.47,
299,4,9,2023-01-03,964.92,4.2,,3.67,14.33
300,149,3,2023-01-03,1706.74,5.3,4.64,3.93,14.84
301,210,17,2023-01-03,3725.51,6.6,4.31,2.91,18.64
302,231,8,2023-01-03,4195.2,3.7,3.54,3.29,14.34
303,112,18,2023-01-03,3558.17,7.5,5.2,3.24,
304,154,2,2023-01-03,4840.66,8.3,4.38,3.95,18.87
305,57,13,03/01/2023,4361.37,9.7,5.29,3.92,15.78
306,96,11,2023-01-03,969.09,8.1,3.08,3.79,16.83
307,106,4,2023-01-03,4237.58,7.6,3.88,3.78,
308,128,15,2023-01-03,450.07,3.1,4.57,2.9,17.1
309,217,14,2023-01-04,3496.89,4.0,3.15,3.08,19.98
310,153,2,04/01/2023,4842.61,6.0,5.44,2.96,14.25
311,176,11,2023-01-04,1015.36,3.1,4.33,,14.77
312,106,14,2023-01-04,4207.06,9.0,4.9,3.18,15.89
313,203,15,2023-01-04,3865.64,3.2,3.09,3.65,19.97
314,82,18,2023-01-04,395.8,5.9,5.17,2.91,15.08
315,116,19,2023-01-04,2641.94,,4.92,3.9,16.99
316,123,4,2023-01-04,1777.56,6.7,5.09,2.9,17.96
317,224,1,2023-01-04,4784.97,2.4,4.13,4.0,18.78
318,189,10,2023-01-04,4343.74,2.4,5.38,3.28,19.79
319,35,6,2023-01-04,628.1,5.2,5.39,3.16,18.42
320,67,12,2023-01-04,4537.92,8.7,4.22,3.37,16.54
321,45,14,2023-01-04,4092.77,2.7,5.43,3.58,19.58
322,243,15,2023-01-04,3306.68,9.3,3.37,3.88,17.14
323,152,2,2023-01-04,429.1,6.1,4.16,3.78,17.51
324,212,15,2023-01-04,278.09,3.5,3.21,3.16,16.73
325,84,6,2023-01-04,3194.29,2.6,3.65,,
326,205,13,2023-01-04,3347.84,9.7,4.22,3.97,18.04
327,73,5,2023-01-04,2095.99,3.5,4.74,2.83,14.87
328,51,18,2023-01-04,4242.03,4.4,,3.0,18.22
329,22,19,2023-01-04,2463.15,4.4,3.98,2.92,16.59
330,107,18,2023-01-04,2579.38,2.3,4.28,3.92,19.21
331,95,19,2023-01-04,491.38,2.5,4.04,3.39,16.08
332,47,7,2023-01-04,299.87,5.5,4.47,3.91,18.29
333,101,13,2023-01-04,4439.23,8.7,4.84,3.76,17.73
334,97,5,2023-01-04,3796.42,3.3,4.98,3.39,17.34
335,214,6,2023-01-04,1922.18,8.9,5.02,2.94,17.37
336,147,2,2023-01-04,4969.58,6.5,5.13,3.53,14.3
337,58,4,2023-01-04,4035.14,8.3,5.15,3.47,15.0
338,6,10,2023-01-04,1185.85,8.1,5.18,3.24,14.74
339,216,1,2023-01-04,4854.26,8.5,4.26,3.25,16.16
340,143,14,2023-01-04,927.73,3.1,5.3,3.94,18.09
341,166,17,2023-01-04,2324.38,2.7,5.45,2.87,17.96
342,157,17,2023-01-04,4532.05,5.4,4.75,3.67,16.06
343,161,5,2023-01-04,4521.0,5.6,4.36,3.58,19.33
344,59,10,2023-01-04,2141.63,6.3,4.8,3.42,15.28
345,23,6,04/01/2023,1698.81,9.1,3.65,3.16,17.03
346,119,17,2023-01-04,4239.6,2.4,3.31,3.68,19.9
347,226,18,2023-01-04,4947.2,3.9,4.67,3.49,16.27
348,68,7,2023-01-04,705.09,4.9,4.78,2.9,19.33
349,180,17,2023-01-04,2341.59,6.5,5.18,3.56,18.13
350,44,6,2023-01-04,3712.24,3.0,3.32,3.84,15.28
351,13,12,2023-01-04,3783.18,3.0,3.28,3.15,14.71
352,103,1,2023-01-04,1997.41,3.1,3.12,3.87,18.91
353,159,2,2023-01-04,787.17,6.6,5.25,3.37,17.63
354,110,15,2023-01-04,2622.87,3.2,3.22,3.55,19.4
355,154,15,2023-01-04,419.93,7.2,4.77,3.76,17.37
356,234,20,2023-01-04,2884.89,8.1,4.3,,17.95
357,39,7,2023-01-04,4819.41,7.6,4.11,3.53,14.27
358,209,14,04/01/2023,311.66,6.2,3.23,3.45,15.1
359,223,6,2023-01-04,940.29,9.7,4.78,2.92,19.36
360,204,2,2023-01-04,4719.57,8.0,4.23,3.26,14.36
361,146,14,2023-01-04,2153.97,,4.39,2.92,17.91
362,31,17,2023-01-04,2927.58,9.7,5.46,3.45,19.47
363,4,20,2023-01-04,204.81,,5.33,3.52,16.28
364,184,17,2023-01-04,3234.59,3.3,3.17,3.64,18.35
365,135,17,2023-01-04,4415.74,4.5,3.86,3.7,15.48
366,112,20,2023-01-04,1839.82,9.3,5.31,,15.04
367,117,13,2023-01-04,3543.15,8.3,,3.8,18.03
368,173,12,2023-01-04,4101.35,8.7,5.46,3.24,14.06
369,127,12,2023-01-04,3840.42,8.5,5.02,3.98,14.22
370,192,1,2023-01-04,3579.43,8.6,5.17,3.39,17.96
371,245,3,2023-01-04,3475.44,8.0,5.33,3.86,15.65
372,53,18,2023-01-04,310.96,7.4,3.0,3.61,19.12
373,49,4,2023-01-04,4252.84,5.7,4.9,3.07,16.52
374,69,3,2023-01-04,224.76,8.5,3.56,3.95,15.18
375,74,1,2023-01-04,501.65,8.5,4.57,3.1,15.43
376,185,8,2023-01-04,461.28,8.2,4.91,3.49,
377,98,3,2023-01-04,1703.74,2.5,3.14,3.32,
378,34,20,2023-01-04,4279.66,3.9,,3.26,19.28
379,111,1,2023-01-04,1830.16,4.6,3.26,2.88,15.16
380,182,14,2023-01-04,3259.35,7.0,,2.95,17.08
381,199,18,2023-01-04,1917.17,3.2,3.86,2.81,
382,56,2,2023-01-04,2634.12,3.6,5.27,3.21,18.17
383,227,19,2023-01-04,3078.86,4.7,3.82,3.85,16.98
384,181,15,2023-01-04,3266.08,3.9,5.38,3.69,15.11
385,108,1,2023-01-04,1941.52,3.1,4.58,3.23,15.19
386,222,6,2023-01-04,1250.94,6.4,3.05,,18.06
387,105,7,2023-01-04,3979.59,3.9,4.65,3.97,19.29
388,38,5,2023-01-04,513.81,3.5,3.94,3.97,14.28
389,8,5,2023-01-04,1107.69,2.4,5.18,3.96,15.26
390,75,3,2023-01-04,2459.2,5.1,4.88,3.42,18.27
391,206,16,2023-01-04,2519.83,5.2,,3.06,19.18
392,61,19,2023-01-04,1668.8,8.7,3.21,3.15,
393,201,15,2023-01-04,2658.86,5.3,3.79,3.02,17.87
394,239,17,2023-01-04,595.61,2.6,3.57,3.23,16.0
395,64,9,2023-01-04,1400.11,6.8,5.14,3.45,18.62
396,195,13,2023-01-04,1863.84,,4.64,3.94,15.37
397,150,19,2023-01-04,1207.4,8.1,4.15,3.18,18.62
398,118,18,04/01/2023,1206.01,3.1,3.76,3.4,16.13
399,225,18,2023-01-04,2243.45,6.7,3.08,3.97,17.41
400,3,13,2023-01-04,4586.01,3.6,4.34,2.93,16.71
401,121,18,2023-01-04,647.56,8.6,3.07,3.89,15.24
402,235,12,2023-01-04,2717.1,3.4,4.03,2.93,16.87
403,83,5,2023-01-04,4784.46,4.5,4.66,3.49,15.22
404,102,5,2023-01-04,2402.99,8.6,3.62,3.48,
405,74,1,2023-01-05,4239.5,3.4,4.85,,15.64
406,166,18,2023-01-05,1054.11,7.6,5.03,3.66,16.34
407,226,13,2023-01-05,-451.59,9.4,3.6,3.31,16.02
408,236,4,2023-01-05,3410.96,8.6,3.42,2.93,17.37
409,117,14,2023-01-05,1194.17,3.7,3.43,3.18,16.75
410,89,12,2023-01-05,4112.41,9.1,4.92,3.99,18.75
411,180,4,2023-01-05,2932.18,9.9,4.69,3.63,17.81
412,216,16,2023-01-05,1726.24,2.1,4.12,3.69,
413,183,4,2023-01-05,301.82,7.9,4.55,3.25,14.91
414,203,20,2023-01-05,381.95,5.5,3.34,,18.75
415,77,8,2023-01-05,4101.01,4.7,4.35,3.6,18.12
416,101,11,2023-01-05,3118.7,7.0,4.23,2.86,19.63
417,157,7,2023-01-05,1033.64,2.6,3.78,3.09,15.49
418,211,9,2023-01-05,2351.7,5.8,3.9,3.36,17.66
419,208,16,05/01/2023,948.22,5.1,4.9,3.51,18.36
